256712, 2574, 2344, 2238, 101, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259107, 2568, 2464, 2094, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259147, 2550, 2496, 2125, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259187, 2560, 2524, 2082, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259228, 2576, 2466, 2098, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259266, 2554, 2521, 2080, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259305, 2517, 2538, 2088, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259343, 2564, 2489, 2100, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259382, 2580, 2485, 2116, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259420, 2570, 2512, 2103, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259459, 2545, 2494, 2105, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259497, 2569, 2480, 2096, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259536, 2557, 2507, 2085, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259574, 2561, 2493, 2090, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259613, 2576, 2511, 2093, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259652, 2543, 2501, 2095, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259686, 2574, 2447, 2116, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259721, 2587, 2509, 2100, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259756, 2502, 2497, 2121, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259791, 2498, 2552, 2110, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259826, 2582, 2488, 2083, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259861, 2563, 2451, 2109, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259896, 2566, 2518, 2105, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259931, 2553, 2501, 2096, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
259966, 2583, 2484, 2027, 99, 0022c7a7-6954-4619-8ca9-9c8b4cf1412f, , duduk, duduk_antara_dua_sujud, , 
