370814, 1078, 1941, 3497, 75, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
372981, 964, 2169, 3405, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373019, 983, 2143, 3390, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373056, 939, 2146, 3395, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373093, 959, 2195, 3401, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373131, 936, 2180, 3395, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373168, 936, 2161, 3407, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373205, 959, 2166, 3405, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373243, 954, 2160, 3407, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373280, 957, 2181, 3400, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373318, 960, 2150, 3409, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373358, 978, 2152, 3397, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373398, 935, 2163, 3401, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373438, 940, 2165, 3404, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373478, 976, 2164, 3395, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373518, 938, 2149, 3396, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373558, 922, 2182, 3415, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373598, 957, 2180, 3386, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373638, 946, 2175, 3401, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373678, 940, 2164, 3404, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373718, 962, 2207, 3380, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373757, 964, 2176, 3403, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373796, 937, 2166, 3391, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373835, 951, 2204, 3387, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373874, 952, 2171, 3407, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373913, 910, 2165, 3391, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373952, 940, 2186, 3368, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
373991, 974, 2152, 3392, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
374030, 964, 2187, 3393, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
374069, 943, 2170, 3414, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
374108, 927, 2188, 3398, 70, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
374145, 896, 2177, 3395, 71, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
374182, 933, 2187, 3387, 71, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
374219, 921, 2225, 3379, 71, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
374257, 921, 2206, 3383, 71, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
374294, 918, 2140, 3399, 71, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
374331, 873, 2184, 3368, 71, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
374368, 892, 2222, 3352, 71, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
374406, 872, 2153, 3367, 71, a8e31557-f4e9-42ea-a23d-6cff2482e730, , duduk, duduk_antara_dua_sujud, , 
