39929, 2635, 1406, 2973, 104, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42472, 2597, 1494, 2883, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42515, 2596, 1511, 2894, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42557, 2588, 1473, 2882, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42599, 2567, 1510, 2903, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42642, 2612, 1479, 2866, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42684, 2590, 1522, 2899, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42726, 2571, 1516, 2904, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42769, 2570, 1499, 2870, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42811, 2592, 1531, 2881, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42854, 2571, 1460, 2891, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42888, 2592, 1513, 2905, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42922, 2578, 1507, 2878, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42956, 2571, 1529, 2883, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
42990, 2593, 1478, 2883, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43024, 2589, 1505, 2905, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43058, 2610, 1498, 2879, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43092, 2575, 1539, 2914, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43126, 2591, 1512, 2887, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43160, 2577, 1545, 2883, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43194, 2552, 1511, 2869, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43231, 2599, 1517, 2875, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43268, 2588, 1509, 2894, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43305, 2576, 1537, 2897, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43342, 2568, 1537, 2888, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43379, 2587, 1511, 2895, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43416, 2583, 1489, 2877, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43453, 2604, 1532, 2882, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43490, 2596, 1507, 2876, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43527, 2617, 1482, 2886, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43564, 2579, 1524, 2886, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43602, 2573, 1414, 2891, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43640, 2599, 1513, 2881, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43679, 2585, 1483, 2927, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43718, 2609, 1484, 2895, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43757, 2562, 1485, 2894, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43796, 2595, 1495, 2878, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43834, 2588, 1494, 2871, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43873, 2584, 1496, 2885, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43912, 2602, 1448, 2901, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43951, 2603, 1476, 2870, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
43990, 2581, 1527, 2864, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
44030, 2577, 1451, 2860, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
44070, 2595, 1510, 2899, 105, eb137dfc-882b-48a2-97b1-3b1aa3928e8d, , duduk, duduk_antara_dua_sujud, , 
