226968, 3070, 275, 2887, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229342, 3029, 289, 2827, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229373, 3125, 324, 2903, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229404, 3076, 472, 2995, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229436, 2970, 276, 2764, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229467, 2937, 605, 3049, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229499, 2875, 400, 2597, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229530, 2814, 799, 3249, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229562, 2604, 770, 3136, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229593, 2594, 745, 3140, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229625, 2639, 635, 3153, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229656, 2659, 704, 3059, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229688, 2571, 723, 3237, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229726, 2527, 789, 3180, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229765, 2493, 753, 3204, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229804, 2443, 688, 3196, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229843, 2434, 675, 3237, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229882, 2456, 1017, 3291, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229921, 2441, 836, 3326, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229960, 2591, 855, 3153, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
229999, 2796, 845, 2872, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
230038, 2463, 1042, 2977, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
230077, 2514, 328, 3296, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
230115, 2380, 1097, 3562, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
230154, 2535, 634, 3266, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
230192, 2738, 487, 3190, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
230231, 2578, 629, 3154, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
230270, 2695, 669, 3148, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
230308, 2687, 546, 3104, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
230347, 2699, 465, 3112, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
230386, 2648, 563, 3129, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
230424, 2609, 640, 3173, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, mengganti_posisi_duduk, 
230463, 2594, 682, 3173, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230502, 2568, 703, 3123, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230540, 2733, 581, 3076, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230579, 2666, 637, 3164, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230617, 2691, 573, 3137, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230656, 2669, 633, 3143, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230694, 2676, 606, 3107, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230733, 2657, 707, 3178, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230771, 2715, 661, 3126, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230810, 2669, 611, 3151, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230848, 2671, 608, 3161, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230887, 2713, 664, 3151, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230925, 2685, 636, 3105, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
230963, 2691, 638, 3132, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231001, 2633, 610, 3182, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231040, 2697, 672, 3125, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231078, 2647, 615, 3132, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231116, 2675, 602, 3090, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231154, 2623, 652, 3155, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231193, 2671, 654, 3124, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231231, 2649, 681, 3141, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231269, 2682, 643, 3113, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231308, 2698, 585, 3081, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231345, 2702, 487, 3130, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231383, 2642, 533, 3118, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231421, 2609, 609, 3182, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231459, 2610, 628, 3139, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231497, 2610, 726, 3191, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231534, 2606, 690, 3123, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231572, 2570, 679, 3225, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231610, 2691, 777, 3165, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231648, 2570, 597, 3178, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231686, 2617, 716, 3318, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
231726, 2653, 520, 3103, 79, 999aa8e2-cefe-4512-90a6-903144242b03, , duduk, duduk_antara_dua_sujud, , 
