124212, 2475, 2088, 2482, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124809, 2660, 2174, 2319, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124849, 2677, 2133, 2360, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124890, 2721, 2128, 2320, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124930, 2721, 2132, 2287, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
124971, 2766, 2135, 2290, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125011, 2715, 2137, 2291, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125052, 2738, 2138, 2307, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125092, 2706, 2109, 2269, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125133, 2721, 2140, 2283, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125173, 2742, 2159, 2249, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125214, 2762, 2123, 2284, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125250, 2760, 2103, 2268, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125287, 2745, 2096, 2278, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125324, 2783, 2091, 2260, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125361, 2710, 2183, 2290, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125398, 2692, 2122, 2268, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125434, 2761, 2141, 2258, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125471, 2763, 2069, 2261, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125508, 2780, 2079, 2283, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125545, 2771, 2135, 2256, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125582, 2745, 2127, 2296, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125619, 2772, 2116, 2272, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125658, 2752, 2113, 2272, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125697, 2735, 2109, 2298, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125736, 2767, 2128, 2264, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125775, 2754, 2142, 2255, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125814, 2701, 2130, 2285, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125853, 2703, 2130, 2263, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125892, 2739, 2168, 2273, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125931, 2722, 2169, 2264, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
125970, 2742, 2125, 2273, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126009, 2738, 2117, 2282, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126057, 2734, 2155, 2300, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126105, 2697, 2137, 2285, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126154, 2719, 2161, 2292, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126202, 2740, 2174, 2276, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126251, 2714, 2165, 2245, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126299, 2702, 2159, 2251, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126347, 2711, 2134, 2282, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126396, 2761, 2138, 2287, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126444, 2726, 2134, 2285, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126493, 2724, 2148, 2273, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126522, 2712, 2145, 2261, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126551, 2656, 2136, 2325, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126581, 2640, 2156, 2273, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
126610, 2683, 2185, 2255, 98, 1a6b55f7-2c9f-4266-9fce-9c72a202f3cc, , duduk, duduk_antara_dua_sujud, , 
