187822, 3169, 1377, 2395, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189347, 3814, 1138, 2299, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189386, 3821, 1288, 1835, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189424, 3474, 1275, 1795, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189463, 3279, 1214, 1971, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189501, 3516, 1344, 2026, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189540, 3364, 938, 1926, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189579, 3380, 1420, 1953, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189619, 3428, 1413, 2168, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189659, 3322, 1257, 2120, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189700, 3368, 1278, 2063, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189740, 3288, 1197, 2026, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189781, 3301, 1479, 2217, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189821, 3264, 1322, 2103, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189861, 3096, 1380, 2108, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189902, 3152, 1409, 2278, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189942, 3238, 1384, 2125, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
189983, 3259, 1433, 2215, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190018, 3118, 1395, 2202, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190054, 3290, 1401, 2205, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190089, 3353, 1344, 2093, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190125, 3382, 1451, 2071, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190161, 3311, 1410, 2056, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190196, 3286, 1392, 2093, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190232, 3267, 1403, 2101, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190268, 3295, 1421, 2122, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190303, 3197, 1384, 2162, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190339, 3204, 1502, 2057, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190375, 3254, 1536, 2144, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190415, 3107, 1521, 2195, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190455, 3208, 1352, 2228, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190496, 3215, 1382, 2233, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190536, 3293, 1471, 2158, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190577, 3309, 1426, 2142, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190617, 3265, 1455, 2130, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190657, 3314, 1363, 2223, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190698, 3228, 1274, 2280, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190738, 3167, 1255, 2187, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190779, 3207, 1380, 2242, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190815, 3180, 1335, 2272, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190852, 3209, 1275, 2277, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190889, 3094, 1167, 2310, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190926, 3081, 1231, 2461, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
190963, 3084, 1274, 2636, 100, 3b9fc3d4-a265-4c45-ba60-45125bbcaef3, , duduk, duduk_antara_dua_sujud, , 
