103774, 1468, 1218, 3699, 94, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
106966, 1433, 1260, 3692, 93, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107007, 1452, 1278, 3670, 93, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107047, 1467, 1255, 3685, 93, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107088, 1457, 1303, 3677, 93, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107128, 1470, 1288, 3696, 93, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107169, 1425, 1272, 3684, 93, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107210, 1433, 1258, 3685, 93, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107255, 1447, 1269, 3683, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107301, 1477, 1326, 3684, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107346, 1441, 1290, 3670, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107392, 1429, 1277, 3681, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107438, 1433, 1279, 3676, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107483, 1460, 1304, 3666, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107529, 1443, 1320, 3684, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107574, 1439, 1276, 3683, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107620, 1417, 1300, 3652, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107666, 1422, 1324, 3715, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107700, 1462, 1453, 3617, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107734, 1425, 1478, 3637, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107768, 1424, 1410, 3660, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
107802, 1382, 1446, 3613, 92, 205753a5-827e-4da1-96e2-c8f628cdbb51, , duduk, duduk_antara_dua_sujud, , 
