171365, 2259, 576, 3382, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
173555, 2853, 1315, 3887, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173591, 2557, 913, 3146, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173628, 2736, 718, 3017, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173664, 6081, 2006, 3328, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173700, 1668, 205, 3011, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173737, 2616, 397, 2934, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173773, 3129, 936, 3101, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173809, 2769, 522, 2754, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173846, 2895, 1039, 3096, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173882, 2702, 1004, 2913, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173919, 2813, 1198, 2908, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, menggaruk, 
173958, 2795, 1166, 2839, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
173997, 2892, 1043, 2860, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174036, 2866, 951, 2935, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174075, 2865, 985, 2891, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174114, 2797, 939, 2894, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174153, 2746, 1014, 2882, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174192, 2796, 1119, 2890, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174231, 2832, 891, 2891, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174270, 2908, 935, 2904, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174309, 2870, 884, 2826, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174350, 2877, 940, 2939, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174392, 2786, 931, 2855, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174433, 2828, 1016, 2892, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174475, 2805, 1017, 2889, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174517, 2853, 953, 2821, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174558, 2898, 932, 2872, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174600, 2905, 893, 2835, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174642, 2878, 936, 2912, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174683, 2819, 955, 2876, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174725, 2845, 971, 2857, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174767, 2830, 914, 2848, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174805, 2858, 935, 2903, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174843, 2829, 900, 2840, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174881, 2852, 936, 2933, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174919, 2841, 947, 2880, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174958, 2819, 943, 2909, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
174996, 2811, 920, 2878, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175034, 2880, 965, 2852, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175072, 2832, 886, 2879, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175110, 2786, 938, 2924, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175149, 2774, 938, 2886, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175185, 2805, 951, 2952, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175222, 2788, 992, 2895, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175259, 2838, 961, 2898, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175296, 2845, 919, 2892, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175333, 2871, 887, 2887, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175370, 2833, 902, 2894, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175407, 2862, 914, 2925, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175444, 2850, 914, 2866, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175481, 2894, 927, 2895, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175518, 2828, 893, 2839, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175554, 2857, 947, 2926, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175590, 2863, 893, 2860, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175626, 2858, 951, 2935, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175662, 2814, 926, 2856, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175698, 2818, 893, 2910, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175735, 2862, 906, 2882, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175771, 2822, 912, 2891, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175807, 2809, 899, 2909, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175843, 2817, 922, 2881, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175879, 2833, 939, 2915, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175916, 2792, 909, 2910, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175954, 2813, 956, 2887, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
175993, 2835, 932, 2891, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176032, 2823, 962, 2915, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176071, 2802, 932, 2882, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176110, 2801, 963, 2916, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176149, 2801, 916, 2899, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176188, 2881, 948, 2918, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176227, 2837, 918, 2881, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176266, 2858, 877, 2913, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176305, 2848, 950, 2913, 98, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176346, 2779, 941, 2925, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176387, 2795, 935, 2924, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176428, 2818, 933, 2912, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176469, 2789, 958, 2914, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176510, 2813, 957, 2902, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176551, 2816, 914, 2875, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176592, 2820, 918, 2924, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176633, 2786, 937, 2922, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176674, 2830, 964, 2923, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176716, 2775, 922, 2910, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176752, 2839, 953, 2931, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176788, 2786, 935, 2890, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176825, 2820, 939, 2949, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176861, 2783, 924, 2903, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176898, 2824, 956, 2940, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176934, 2792, 944, 2896, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
176971, 2793, 935, 2945, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
177007, 2814, 947, 2898, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
177044, 2800, 928, 2963, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
177080, 2802, 920, 2911, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
177117, 2808, 933, 2954, 99, 9d4eb888-015f-4740-a713-596efc95c3d7, , duduk, duduk_antara_dua_sujud, , 
