131925, 2097, 2907, 2044, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134265, 2053, 3005, 1966, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134310, 2069, 3009, 1948, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134355, 2061, 2995, 1967, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134400, 2046, 3027, 1968, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134445, 2044, 3017, 1985, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134490, 2048, 2993, 1962, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134521, 2060, 3019, 1973, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134552, 2041, 2986, 1971, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134583, 2046, 3001, 1952, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134615, 2070, 3000, 1939, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134646, 2066, 3042, 1956, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134677, 2003, 3021, 1972, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134708, 2016, 3039, 1977, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134740, 2009, 3028, 1949, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134771, 2042, 3029, 1962, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134802, 2040, 3015, 1929, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134834, 2064, 3052, 1896, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134876, 2051, 3072, 1931, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134918, 2014, 3053, 2001, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
134960, 2010, 3036, 1954, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135002, 1997, 3016, 1944, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135044, 2012, 3072, 1942, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135086, 2027, 3058, 1927, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135128, 2031, 3074, 1929, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135170, 2006, 3071, 1947, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135212, 2025, 3006, 1913, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135255, 2029, 3058, 1929, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135294, 1995, 3046, 1947, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135333, 2046, 3072, 1901, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135372, 2039, 3045, 1902, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135412, 2010, 3087, 1918, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135451, 1991, 3076, 1898, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135490, 2003, 3086, 1918, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135530, 2017, 3043, 1921, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135569, 2002, 3026, 1905, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135608, 2029, 3056, 1931, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135648, 2025, 3052, 1935, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135683, 2046, 3045, 1931, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135718, 2012, 3044, 1926, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135753, 2007, 3050, 1939, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135788, 2012, 3048, 1915, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135823, 2027, 3020, 1924, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135859, 2011, 3049, 1949, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135894, 2033, 3019, 1936, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135929, 2078, 3020, 1936, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135964, 2029, 3045, 1968, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
135999, 2007, 3035, 1951, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136035, 2033, 3048, 1931, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136078, 2026, 3038, 1927, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136121, 2017, 3049, 1955, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136164, 2016, 3047, 1917, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136207, 2048, 3068, 1928, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136250, 2036, 3048, 1949, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136293, 2030, 3056, 1951, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136336, 2046, 3016, 1946, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136379, 2046, 3025, 1964, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136422, 2040, 3049, 1941, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136465, 2034, 3010, 1951, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136501, 2022, 3047, 1938, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136537, 2007, 3067, 1950, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136574, 1986, 3045, 1930, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136610, 2034, 3041, 1929, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136646, 2017, 3056, 1918, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136683, 2019, 3042, 1943, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136719, 2016, 3024, 1934, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136755, 2037, 3045, 1923, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136792, 2026, 3053, 1957, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136828, 2043, 3061, 1937, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136865, 2019, 3063, 1934, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136904, 2034, 3062, 1902, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136944, 2008, 3032, 1925, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
136984, 2051, 3045, 1924, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137024, 2045, 3043, 1898, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137064, 2025, 3075, 1927, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137104, 2023, 3073, 1909, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137144, 2034, 3054, 1913, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137184, 2028, 3060, 1886, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137224, 2011, 3082, 1931, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137264, 2008, 3055, 1929, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137301, 2025, 3059, 1901, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137339, 2026, 3065, 1898, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137376, 2004, 3061, 1919, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137414, 2017, 3055, 1916, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137451, 2000, 3061, 1900, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137489, 2010, 3069, 1887, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137526, 2005, 3076, 1884, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137564, 2020, 3084, 1897, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137601, 2028, 3064, 1916, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137639, 1997, 3081, 1887, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137676, 1999, 3072, 1882, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137713, 2006, 3088, 1878, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137750, 2017, 3088, 1901, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137787, 2010, 3063, 1901, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137824, 1991, 3093, 1899, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137862, 1984, 3131, 1894, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137899, 2002, 3070, 1896, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137936, 2022, 3088, 1865, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
137973, 2001, 3084, 1867, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138010, 1991, 3088, 1892, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138048, 2038, 3084, 1899, 84, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138086, 2012, 3099, 1880, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138125, 1987, 3114, 1882, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138164, 1992, 3064, 1867, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138203, 2028, 3109, 1870, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138242, 1995, 3107, 1867, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138280, 2002, 3070, 1891, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138319, 2004, 3105, 1890, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138358, 2006, 3085, 1871, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138397, 1986, 3116, 1847, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138436, 1995, 3093, 1865, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138476, 2000, 3106, 1903, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138516, 1988, 3093, 1882, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138557, 2005, 3090, 1889, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138597, 1995, 3081, 1887, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138638, 2011, 3111, 1901, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138678, 2020, 3101, 1869, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138718, 2013, 3088, 1894, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138759, 2007, 3082, 1874, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138799, 1998, 3085, 1877, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138840, 1978, 3093, 1884, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138876, 2015, 3078, 1872, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138912, 2007, 3100, 1862, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138948, 1982, 3078, 1877, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
138985, 2005, 3100, 1879, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139021, 2016, 3120, 1873, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139057, 2006, 3087, 1881, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139093, 1988, 3128, 1889, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139130, 2012, 3088, 1873, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139166, 2012, 3090, 1888, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139202, 1994, 3094, 1885, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139239, 2004, 3072, 1879, 83, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139276, 2016, 3105, 1882, 82, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139314, 2014, 3112, 1879, 82, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139352, 2012, 3089, 1850, 82, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139390, 1997, 3096, 1871, 82, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139428, 1998, 3074, 1881, 82, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139466, 2004, 3098, 1893, 82, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139504, 1991, 3100, 1879, 82, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139542, 1996, 3055, 1885, 82, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139580, 1984, 3115, 1853, 82, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
139618, 1989, 3074, 1900, 82, 4612f688-173d-4cf7-b24a-d15d3660a0f1, , duduk, duduk_antara_dua_sujud, , 
