226117, 1728, 2531, 2667, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
226999, 1392, 2435, 3115, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227041, 1268, 2564, 3112, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227083, 1187, 2315, 3154, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227125, 1122, 2475, 3050, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227168, 1273, 2410, 3125, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227204, 1437, 2424, 3067, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227241, 1554, 2377, 2958, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227278, 1658, 2450, 2876, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227315, 1740, 2478, 2826, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227352, 1839, 2446, 2797, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227388, 1888, 2556, 2820, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227425, 1840, 2468, 2836, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227462, 1487, 2378, 3009, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227499, 1346, 2612, 3001, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227536, 1265, 2740, 2844, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227573, 1198, 2721, 2858, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227610, 1216, 2762, 2902, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227647, 1246, 2754, 2875, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227685, 1281, 2750, 2859, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227722, 1317, 2689, 2867, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227760, 1334, 2682, 2856, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227797, 1329, 2696, 2838, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227834, 1278, 2717, 2849, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227872, 1271, 2745, 2828, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227909, 1282, 2720, 2846, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227947, 1260, 2747, 2826, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
227986, 1281, 2752, 2823, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228026, 1297, 2696, 2851, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228066, 1279, 2724, 2840, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228105, 1298, 2724, 2828, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228145, 1271, 2723, 2827, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228185, 1279, 2736, 2850, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228225, 1253, 2718, 2846, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228264, 1263, 2745, 2842, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228304, 1251, 2739, 2800, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228344, 1319, 2748, 2828, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228384, 1296, 2710, 2805, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228423, 1294, 2754, 2818, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228462, 1288, 2729, 2798, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228501, 1294, 2722, 2799, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228540, 1279, 2777, 2821, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228579, 1272, 2766, 2807, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228618, 1293, 2745, 2809, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228657, 1283, 2738, 2818, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228696, 1276, 2794, 2800, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228735, 1259, 2789, 2765, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228774, 1292, 2763, 2811, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228811, 1289, 2771, 2803, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228849, 1264, 2786, 2796, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228886, 1255, 2786, 2795, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228924, 1286, 2814, 2817, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228962, 1328, 2802, 2756, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
228999, 1276, 2786, 2772, 94, e4fea576-c818-44a0-a0c1-b3957fb7a149, , duduk, duduk_antara_dua_sujud, , 
