287102, 1440, 1113, 3751, 93, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288041, 1592, 1156, 3646, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288079, 1601, 1188, 3645, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288117, 1590, 1185, 3659, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288156, 1604, 1186, 3633, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288194, 1576, 1199, 3666, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288232, 1588, 1172, 3633, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288270, 1606, 1177, 3666, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288309, 1586, 1204, 3647, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288347, 1583, 1170, 3666, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288385, 1578, 1206, 3648, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288424, 1608, 1173, 3645, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288463, 1605, 1162, 3644, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288502, 1609, 1214, 3648, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288541, 1611, 1187, 3632, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288581, 1578, 1159, 3677, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288620, 1574, 1214, 3657, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288659, 1598, 1191, 3647, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288699, 1605, 1179, 3652, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288738, 1592, 1184, 3634, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288777, 1584, 1157, 3680, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288817, 1570, 1202, 3641, 91, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288853, 1602, 1181, 3632, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288890, 1588, 1192, 3658, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288926, 1559, 1225, 3654, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
288963, 1573, 1163, 3683, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289000, 1588, 1197, 3652, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289036, 1593, 1187, 3650, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289073, 1596, 1207, 3656, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289110, 1614, 1190, 3625, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289146, 1575, 1214, 3636, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289183, 1558, 1219, 3642, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289220, 1561, 1200, 3629, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289258, 1595, 1234, 3643, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289297, 1541, 1199, 3651, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289336, 1600, 1248, 3619, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289375, 1601, 1243, 3651, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289414, 1587, 1234, 3637, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289452, 1587, 1216, 3653, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289491, 1597, 1215, 3624, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289530, 1601, 1243, 3637, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289569, 1574, 1207, 3647, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289608, 1575, 1251, 3649, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289648, 1565, 1233, 3638, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289689, 1575, 1252, 3641, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289730, 1593, 1269, 3656, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289771, 1572, 1277, 3635, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
289812, 1576, 1165, 3695, 89, 794e995c-ae77-4bf9-8bc5-edcee3228716, , duduk, duduk_antara_dua_sujud, , 
