466700, 873, 2047, 3495, 79, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467631, 910, 2107, 3442, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467669, 929, 2119, 3443, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467708, 933, 2116, 3438, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467745, 919, 2117, 3435, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467782, 933, 2133, 3427, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467820, 925, 2119, 3434, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467857, 925, 2121, 3428, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467894, 937, 2159, 3436, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467932, 912, 2114, 3414, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
467969, 933, 2127, 3434, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468006, 960, 2118, 3421, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468044, 952, 2160, 3405, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468081, 936, 2121, 3446, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468119, 921, 2122, 3410, 81, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468163, 905, 2155, 3418, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468208, 921, 2100, 3442, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468253, 934, 2137, 3427, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468298, 923, 2108, 3443, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468343, 960, 2138, 3434, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468388, 955, 2135, 3440, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468433, 950, 2173, 3417, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468478, 972, 2152, 3390, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468523, 957, 2158, 3396, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468568, 940, 2141, 3409, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468600, 945, 2153, 3410, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468632, 947, 2151, 3397, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468664, 951, 2155, 3401, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468696, 932, 2135, 3418, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468728, 923, 2185, 3399, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468760, 937, 2167, 3385, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468792, 942, 2171, 3393, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468824, 929, 2175, 3416, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468856, 916, 2175, 3386, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468888, 920, 2188, 3403, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468924, 941, 2168, 3398, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468961, 920, 2198, 3383, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
468997, 948, 2163, 3391, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469034, 933, 2195, 3397, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469071, 917, 2190, 3386, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469107, 911, 2182, 3393, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469144, 919, 2189, 3412, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469181, 935, 2169, 3393, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469217, 930, 2185, 3405, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469254, 924, 2202, 3391, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469291, 921, 2173, 3385, 82, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469330, 937, 2152, 3405, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469369, 945, 2182, 3377, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469409, 902, 2196, 3375, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469448, 918, 2188, 3385, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469488, 937, 2201, 3393, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469527, 922, 2178, 3391, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469566, 917, 2182, 3415, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469606, 904, 2166, 3395, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469645, 890, 2177, 3381, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469685, 946, 2182, 3415, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469723, 930, 2168, 3367, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469762, 911, 2183, 3400, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469800, 906, 2174, 3379, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469839, 900, 2208, 3411, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469877, 929, 2175, 3387, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469916, 939, 2197, 3398, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469954, 897, 2176, 3398, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
469993, 906, 2184, 3380, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
470031, 920, 2206, 3424, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
470070, 879, 2178, 3384, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
470109, 886, 2224, 3388, 84, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
470151, 948, 2230, 3429, 85, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
470193, 959, 2190, 3386, 85, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
470235, 943, 2197, 3379, 85, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
470277, 883, 2203, 3420, 85, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
470319, 896, 2209, 3370, 85, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
470361, 868, 2152, 3361, 85, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
470403, 908, 2171, 3380, 85, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
470445, 917, 2241, 3363, 85, 85f20f14-aa5c-4b32-a396-993da3504195, , duduk, duduk_antara_dua_sujud, , 
