148524, 3214, 2279, 1186, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149743, 4133, 2469, 1123, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149785, 4184, 1843, 814, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149827, 3900, 1404, 423, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149868, 3760, 912, 654, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149910, 3569, 1659, 937, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149951, 3658, 1472, 1527, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
149993, 3593, 1618, 1384, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150035, 3763, 1520, 919, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150071, 3477, 1197, 529, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150107, 1003, 601, 1229, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150144, 2264, 1908, 1227, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150180, 2479, 3699, 2281, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150216, 408, 1964, 1605, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150253, 1233, 2183, 2648, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150289, 2045, 3294, 4495, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150325, 2154, 2770, 2927, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150362, 2259, 2112, 1914, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150398, 2159, 2203, 2167, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150435, 2243, 2771, 2769, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150475, 2220, 2269, 2312, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150515, 2440, 2297, 2103, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150556, 2451, 2255, 2321, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150596, 2454, 2235, 2287, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150637, 2356, 2383, 2261, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150677, 2299, 2374, 2278, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150717, 2117, 2461, 2441, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150758, 2033, 2651, 2454, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150798, 1930, 2702, 2578, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150839, 1832, 2809, 2594, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150876, 1720, 2793, 2479, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150913, 1840, 2800, 2599, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150951, 2032, 2648, 2397, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
150988, 2142, 2563, 2291, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151026, 2168, 2653, 2340, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151063, 2090, 2566, 2352, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151101, 2088, 2618, 2450, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151138, 2080, 2611, 2378, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151176, 2046, 2645, 2476, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151213, 2124, 2568, 2404, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151251, 2218, 2668, 2634, 73, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151289, 2227, 2419, 2466, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151327, 2274, 2400, 2246, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151365, 2420, 2522, 2303, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151404, 2554, 2385, 2301, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151442, 2340, 2144, 2375, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151480, 2365, 2342, 2214, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151519, 1994, 2350, 2986, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151557, 1716, 2328, 2909, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151595, 1785, 2213, 2686, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151634, 1860, 2014, 2656, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151675, 1701, 1936, 3100, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151717, 1796, 2828, 2601, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151759, 1929, 3343, 1632, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151801, 1654, 999, 542, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151843, 2697, 1679, 1278, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151884, 3234, 1335, 1925, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151926, 3867, 1510, 1851, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
151968, 4256, 1314, 1597, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152010, 4216, 923, 1346, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152052, 4667, 910, 984, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152086, 5663, 96, -1288, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152121, 5861, 368, 1807, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152156, 5192, 2703, 3002, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152191, 3684, 515, 1426, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152226, 3302, 2638, 238, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152260, 3971, 938, 983, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152295, 4037, 1042, 406, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152330, 4072, 992, 295, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152365, 3972, 478, 299, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152400, 3991, 937, 98, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152435, 4088, 905, 89, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152474, 4054, 1029, -121, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152514, 4079, 927, -170, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152554, 4125, 811, -219, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152594, 3969, 887, -232, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152634, 4090, 792, -274, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152674, 4038, 779, -378, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152714, 4079, 880, -245, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152754, 4008, 889, -301, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152794, 4038, 880, -366, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152834, 4060, 774, -321, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152872, 4102, 665, -366, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152910, 4099, 681, -264, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152948, 4087, 747, -264, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
152987, 4080, 700, -167, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153025, 4092, 843, -152, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153063, 4114, 731, -73, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153101, 4105, 740, -2, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153140, 4059, 984, 97, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153178, 4112, 821, 200, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153216, 4077, 918, 342, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153255, 4029, 1011, 424, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153294, 4010, 1085, 576, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153333, 3933, 1133, 818, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153373, 3729, 1321, 1107, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153412, 3661, 1095, 1483, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153452, 3546, 1386, 1576, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153491, 3485, 1543, 1471, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153530, 3649, 1486, 1348, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153570, 3591, 1375, 1589, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153609, 3529, 1320, 1636, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153649, 3591, 1417, 1583, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153687, 3573, 1417, 1694, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153726, 3497, 1309, 1931, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153764, 3218, 1329, 2045, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153803, 3263, 1064, 2230, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153842, 3169, 1442, 2399, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153880, 3372, 1603, 2389, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153919, 3124, 1478, 2499, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153957, 4190, 1423, 2876, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
153996, 4131, 1243, 3396, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154035, 4275, -135, -161, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154071, 4191, 1574, 988, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154108, 4069, 907, 2142, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154145, 4337, 1810, 2736, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154181, 4647, 1493, 2520, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154218, 4843, 1700, 2164, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154255, 4647, 1319, 1963, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154292, 4703, 1142, 1252, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154328, 4595, 192, 539, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154365, 4867, -298, -555, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154402, 5153, 637, -933, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154439, 4760, 647, -611, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154484, 5547, 733, 322, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154530, 4128, 563, 1646, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154576, 5386, 1658, -1158, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154622, 4365, 1139, -961, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154668, 3991, 215, -905, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154714, 3907, -60, -822, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154760, 3572, -135, -478, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154806, 2776, -708, 242, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154852, 2688, 81, -136, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154898, 2530, 955, -265, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154929, 2916, 425, -316, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154961, 3074, 587, -478, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
154993, 3440, 708, -493, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155025, 3749, 699, -726, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155057, 4393, 268, -633, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155089, 4432, 247, -798, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155121, 4696, -38, -614, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155153, 5017, 411, -867, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155185, 5003, 233, -860, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155217, 5279, 103, -877, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155249, 5029, 976, -1474, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155288, 4841, 1187, -1174, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155328, 4890, 1435, -1067, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155368, 4696, 2124, -695, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155408, 4196, 2793, -672, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155448, 3679, 3024, -681, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155487, 2593, 2971, -541, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155527, 2071, 2916, -190, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155567, 984, 2727, -97, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155607, 458, 3253, 43, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155647, 107, 3117, 799, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155687, -918, 3021, 273, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155728, -964, 3119, -41, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155769, -1463, 2163, 65, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155809, -1501, 3057, -252, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
