260637, 3511, 1966, 710, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
263966, 5201, -285, 1296, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264002, 4779, 1738, -529, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264039, 4447, 868, -828, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264076, 4062, 712, -379, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264113, 3653, 159, -61, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264149, 3839, 978, 459, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264186, 4109, 2468, 624, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264223, 3898, 390, 862, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264260, 3576, 1371, 554, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264296, 2330, 4759, 7265, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264333, 2145, 2020, 1097, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264370, 2049, 2069, 535, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264407, 1690, 2992, 1305, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264444, 1150, 2251, 2044, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264485, 676, 2980, 3095, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264527, 533, 3869, 4211, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264568, 327, 3623, 3366, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264610, 733, 2913, 2222, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264651, 1542, 2322, 2397, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264693, 2307, 2157, 2006, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264734, 2934, 2642, 2033, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264776, 3234, 2282, 1342, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264817, 2718, 3822, 2009, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264859, 1604, 3958, 2394, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264900, 2738, 4826, 3410, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264942, 3211, 2721, 2806, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
264984, 2682, 3187, 2922, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265018, 2800, 2523, 2399, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265052, 3453, 2559, 585, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265087, 3491, 3261, 62, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265121, 2999, 2982, 345, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265155, 2865, 2369, 201, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265190, 3255, 2424, -279, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265224, 3220, 2165, -412, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265259, 3429, 2715, -677, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265293, 2899, 1596, -513, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265327, 3111, 1871, -417, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265362, 2691, 1824, -529, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265396, 2796, 1440, -133, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265431, 3239, 1394, -225, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265469, 3640, 1115, -179, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265507, 3727, 746, -15, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265545, 3906, 653, 355, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265583, 4075, 978, 135, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265622, 4777, 604, -156, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265660, 4559, 370, -148, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265698, 4653, 665, -115, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265736, 4705, 1866, -494, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265775, 5228, 2161, 316, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265813, 5298, 2793, -46, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265851, 5328, 2193, -862, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265889, 4635, 2435, -685, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265928, 3960, 2547, -110, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
265967, 3034, 2782, -35, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266006, 2118, 2358, -70, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266045, 1101, 2992, -289, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266084, 564, 2647, 359, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266123, -52, 3059, 203, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266162, -258, 2988, -184, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266201, -780, 2508, -336, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266240, -1160, 2578, -207, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266279, -954, 2988, -147, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266318, -886, 3292, -66, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266357, -1174, 3222, -337, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266396, -1133, 3259, -637, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266436, -1078, 3176, -780, 84, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266474, -854, 4707, -368, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266512, -1589, 5199, -1549, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266550, -818, 3599, -1473, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266588, -914, 4015, -1633, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266626, -890, 2491, -630, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266664, -104, 2115, -1486, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266702, -1111, 3166, -1112, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266740, -898, 4479, -1506, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266778, -1029, 3981, -705, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266816, -921, 4431, -965, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266854, -755, 4427, -1192, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266892, -712, 4129, -1183, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266931, -606, 4259, -1552, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
266971, -761, 3663, -1657, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267011, -619, 3006, -1480, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267052, 211, 3140, -1681, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267092, -543, 3189, -249, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267133, -926, 3476, -865, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267173, -995, 3355, -1287, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267214, -913, 4162, -1068, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267254, -1037, 3842, -1538, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267295, -1225, 4234, -1978, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267335, -1240, 3983, -1967, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267376, -1353, 3750, -1877, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267416, -1050, 3644, -1814, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267457, -800, 3482, -1778, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267497, -699, 3697, -1601, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267537, -551, 3573, -1658, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267578, -524, 3704, -1685, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267618, -673, 3709, -1627, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267658, -810, 3492, -1779, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
267699, -844, 3631, -1707, 85, 88380e63-3502-4a51-800d-8abc198bb302, , transisi, transisi_sujud_ke_bersedekap, , 
