93225, 2691, 2937, 1112, 96, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94026, 1814, 1945, 3178, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94062, 1655, 2682, 3162, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94098, 1804, 2536, 3325, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94135, 3409, 1786, 4114, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94171, 4433, 2264, 2959, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94207, 6325, 2612, 2159, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94244, 5890, 2146, 1604, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94280, 4511, 448, 1358, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94317, 3324, -47, 467, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94355, 2957, 678, 400, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94394, 2933, 1126, 794, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94433, 2565, 558, 426, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94471, 1839, -637, 2646, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94510, 2272, 1420, 5022, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94549, 1318, 1394, 2533, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94587, 1994, 1991, 2641, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94626, 1480, 2677, 2970, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94665, 1535, 2528, 3119, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94704, 1660, 1787, 2858, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94752, 1663, 1833, 3249, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94801, 990, 2194, 2729, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94850, 1225, 1887, 3911, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94898, 990, 2057, 5161, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94947, 873, 2221, 3864, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
94996, 1654, 2282, 3055, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95044, 1950, 2029, 3384, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95093, 1942, 1871, 3907, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95142, 1727, 1855, 3615, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95191, 1597, 1571, 3636, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95223, 1404, 1465, 3417, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95256, 1370, 1658, 3232, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95288, 1511, 1932, 3361, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95321, 1540, 1243, 3427, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95354, 1295, 1204, 3244, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95386, 1506, 1420, 2233, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95419, 499, -332, -1122, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95452, 2874, 1742, 635, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95484, 4625, 1366, 2623, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95517, 5432, 1554, 2023, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95550, 5232, 2490, 3233, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95587, 5050, 1715, 593, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95625, 4424, 1334, 539, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95662, 4398, 849, 572, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95700, 4796, 855, 633, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95737, 5162, 1126, 43, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95775, 3981, 1496, -153, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95812, 3653, 1351, 1118, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95850, 4054, 1182, 814, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95887, 3880, 1301, 412, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95925, 3977, 1252, 363, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95960, 3998, 1177, 312, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
95995, 3994, 1193, 91, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96031, 3998, 1174, -14, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96066, 4011, 1133, -154, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96101, 3972, 1191, -157, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96137, 3917, 1288, -175, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96172, 3893, 1245, -310, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96207, 3973, 1207, -323, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96243, 3957, 1136, -233, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96278, 3816, 1404, -309, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96314, 4036, 1116, -416, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96356, 4162, 886, -495, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96398, 3998, 795, -368, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96440, 3976, 1118, -321, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96482, 4018, 1057, -246, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96525, 3975, 1219, -191, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96567, 4017, 1134, -11, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96609, 4119, 1069, 170, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96651, 4084, 1202, 133, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96693, 4321, 1385, 625, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96736, 5041, 1316, 1065, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96772, 6238, 1491, 1948, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96809, 6104, 1565, 729, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96846, 4777, 2075, -1711, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96883, 4476, 1501, -427, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96920, 4497, 1347, 24, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96956, 4910, 1248, 282, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
96993, 4461, 1214, 608, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97030, 3704, 1980, 328, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97067, 2835, 1783, 637, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97104, 2044, 1839, 913, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97144, 1108, 1320, 905, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97184, 1154, 1301, 1487, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97224, 897, 1545, 4715, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97265, 767, 1409, 6396, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97305, 69, 2431, 6393, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97345, 101, 2679, 2735, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97385, 1052, 2114, 2029, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97426, 2148, 2289, 2732, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97466, 2960, 3084, 2718, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97506, 3114, 2181, 1979, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97547, 3463, 2477, 924, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97585, 3387, 2648, 444, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97624, 2187, 3000, 2904, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97663, 1640, 4094, 3152, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97702, 3495, 3503, 2299, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97741, 4338, 2794, 3197, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97780, 2292, 3321, 2854, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97819, 3583, 3219, 1401, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97858, 3442, 2634, 993, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97897, 2811, 3870, 1245, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97936, 2969, 3095, 856, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
97972, 3317, 2998, 564, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98009, 2801, 2557, 818, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98046, 2462, 2528, 1242, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98082, 2628, 2632, 1449, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98119, 2710, 2032, 126, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98156, 3936, 2105, -1977, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98193, 3248, 2476, -236, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98229, 2183, 1859, -180, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98266, 2167, 1431, 538, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98303, 3108, 1171, 1164, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98340, 4014, 1521, 518, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98377, 4471, 1634, 86, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98415, 4522, 1103, 122, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98453, 4152, 696, 215, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98490, 4543, 908, -204, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98528, 5049, 2656, -650, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98566, 5683, 2971, -636, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98603, 4931, 2699, 732, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98641, 4801, 2973, -278, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98679, 3621, 3840, -1255, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98717, 2911, 3744, -1067, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98757, 2053, 2980, -483, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98797, 1286, 2801, -418, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98837, 472, 2087, -84, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98877, -120, 1862, 299, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98917, -574, 2119, 689, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98957, -1119, 2556, 936, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
98997, -1420, 2291, 1012, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99037, -1836, 2086, 913, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99077, -1781, 3291, 577, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99117, -1667, 2968, 614, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99155, -1572, 5201, -109, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99193, -1765, 4531, 172, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99231, -1950, 3425, -339, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99269, -1605, 4217, -489, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99307, -1415, 3778, -71, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99345, -3355, 4035, -1555, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99383, -1150, 3742, 236, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99421, -1491, 4108, -308, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99459, -1250, 4146, 195, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99497, -925, 4725, -184, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99535, -909, 4808, -230, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99580, -753, 4516, -432, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99625, -596, 3658, -628, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99671, -466, 3476, -1021, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99716, -471, 2730, -487, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99762, -390, 3140, 15, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99807, -553, 3213, -179, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99852, -514, 4173, -498, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99898, -820, 4441, -409, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99943, -957, 4449, -852, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
99989, -1111, 4310, -818, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
100020, -1012, 4039, -825, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
100052, -944, 3827, -714, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
100083, -980, 3848, -760, 98, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
