70858, 3450, 1798, 1392, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72116, 2071, 2363, 3087, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72151, 737, 1776, 1259, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72186, 598, 1439, 2165, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72222, 321, 2033, 2885, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72262, 1374, 2586, 6411, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72302, 2618, 4277, 4646, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72342, 2044, 2421, 2882, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72382, 1193, 1759, 2295, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72422, 1736, 1438, 3497, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72462, 1892, 1626, 3074, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72502, 2151, 2788, 2675, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72542, 1986, 2632, 2339, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72582, 1895, 2745, 2667, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72623, 2244, 2453, 2611, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72658, 2913, 3419, 3637, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72693, 2215, 2947, 2692, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72729, 2192, 2317, 2525, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72764, 2218, 2483, 3008, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72800, 2330, 1771, 2841, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72835, 2740, 1833, 2301, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72871, 3265, 2595, 1751, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72906, 3278, 2549, 1211, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72942, 3664, 2641, 653, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
72977, 4165, 3009, 265, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73013, 4128, 2445, 593, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73053, 4660, 1045, 768, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73094, 4902, 896, 741, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73134, 5161, 1366, 875, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73175, 4367, 844, 172, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73215, 2867, 302, 209, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73256, 2668, 320, 880, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73296, 2689, 131, 706, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73337, 2857, -302, 888, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73377, 3369, 403, 473, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73418, 3585, 482, 103, 59, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73463, 4174, 846, -58, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73508, 4103, 1291, -138, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73553, 4555, 1847, -36, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73598, 5410, 1542, 174, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73643, 4665, 2041, -238, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73688, 5041, 2406, -259, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73733, 4333, 2735, -25, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73778, 3826, 3340, -391, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73823, 3045, 3399, -609, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73868, 2210, 3520, -850, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73899, 1409, 3663, -1237, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73931, 394, 3460, -1575, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73963, -369, 3113, -1458, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
73995, -838, 2311, -1023, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74027, -942, 1941, -583, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74058, -897, 2098, -411, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74090, -1013, 2367, -136, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74122, -904, 2638, 95, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74154, -529, 2995, 93, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74186, -1111, 5387, -112, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74218, -1288, 4761, -889, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74258, -1081, 4138, -1312, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74298, -887, 3420, -1007, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74338, -770, 3873, -996, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74378, -970, 3833, -1180, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74418, -983, 4161, -1435, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74458, -374, 3827, -1053, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74498, -598, 3602, -814, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74538, -896, 4234, -1248, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74578, -803, 4529, -875, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74619, -767, 4616, -763, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74655, -589, 4149, -459, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74692, -675, 4567, -629, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74729, -768, 4195, -1374, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74766, -748, 3411, -1418, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74803, -464, 3119, -1512, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74839, -663, 2878, -1239, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74876, -296, 3261, -719, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74913, -642, 3380, -322, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74950, -612, 3456, -963, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
74987, -660, 4121, -1481, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
75024, -721, 4270, -1479, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
75063, -809, 4062, -1633, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
75102, -856, 3793, -1611, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
75141, -677, 3788, -1565, 60, 51f06839-03e6-487b-a31b-4c95c6b1e30a, , transisi, transisi_sujud_ke_bersedekap, , 
