77210, 2812, 1449, 2650, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79525, 3558, 2159, 1323, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79560, 3373, 1811, 1224, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79595, 3211, 1742, 1264, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79634, 3163, 1927, 1503, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79674, 3250, 1994, 1831, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79714, 2966, 2024, 1799, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79754, 2449, 2010, 3027, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79794, 3349, 2548, 2525, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79834, 2916, 1824, 1488, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79874, 3376, 1860, 2024, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79914, 3235, 1926, 2424, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79954, 2738, 2155, 2194, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
79994, 2329, 2092, 1380, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80039, 2522, 1371, 1710, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80085, 4252, 2309, 2980, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80130, 2258, 1252, 2089, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80176, 3030, 3895, 6101, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80221, 3163, 1427, 3378, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80267, 2415, 1960, 2214, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80312, 1911, 2137, 3182, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80358, 2523, 1455, 4196, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80403, 3179, 584, 2630, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80449, 2538, 1007, 1870, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80481, 3507, 1618, 2546, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80514, 4172, 1510, 2035, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80547, 3265, 1342, 1472, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80579, 3127, 1844, 1102, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80612, 3616, 1809, 958, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80645, 3645, 1375, 432, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80678, 3760, 837, 209, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80710, 3993, 1279, 182, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80743, 4334, 1378, 124, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80776, 3347, 756, -721, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80809, 3587, 758, -387, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80849, 3600, 268, -652, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80889, 4071, 832, -568, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80930, 3475, 1443, -958, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
80970, 3525, 582, -1606, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81011, 3797, 328, -2494, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81051, 3656, 697, -1944, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81091, 3809, 177, -1328, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81132, 4150, 627, -1542, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81172, 3742, 2, -1617, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81213, 3553, 430, -1947, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81250, 3283, 101, -1899, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81288, 3403, 1375, -2171, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81326, 3453, 632, -2025, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81364, 3331, 798, -2602, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81402, 3509, 1179, -2282, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81440, 3520, 1766, -2270, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81478, 3547, 1680, -2520, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81516, 3305, 2686, -3060, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81554, 3780, 2708, -2682, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81592, 4149, 2677, -2189, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81627, 3553, 2320, -1716, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81662, 3026, 2645, -1208, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81697, 2770, 2412, -728, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81733, 2534, 3269, -559, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81768, 2515, 4024, -477, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81803, 2185, 3362, -768, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81838, 851, 2991, -662, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81874, 1383, 3325, -52, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81909, 795, 2834, 32, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81944, 445, 2841, -64, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
81980, 633, 2983, 339, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82026, 627, 3880, 418, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82072, 494, 4442, 373, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82119, 591, 3266, 1039, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82165, 760, 3477, 1153, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82212, 224, 3489, 481, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82258, 414, 3801, -1407, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82304, -152, 3401, 213, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82351, 166, 3836, 503, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82397, 94, 4431, 477, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82444, -267, 4662, 234, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82475, -507, 4424, -10, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82507, -346, 4042, -33, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82539, -316, 3823, 75, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82570, -386, 3967, -54, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82602, -280, 4134, 57, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
82634, -315, 4148, -19, 83, 5c23c6eb-79ad-4160-8266-91a8a12b1ec3, , transisi, transisi_sujud_ke_bersedekap, , 
