110266, 2677, 1305, 2875, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112142, 3620, 1729, 1272, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112180, 3221, 1659, 944, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112219, 2791, 1375, 897, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112257, 2480, 1491, 900, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112296, 2364, 1883, 547, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112335, 2794, 2227, 623, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112376, 3165, 2115, -347, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112417, 1470, 3591, -1874, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112458, 2944, 2821, -1011, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112499, 3032, 3074, -171, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112540, 3345, 4003, -40, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112581, 2835, 2111, -39, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112622, 4342, 2888, -495, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112663, 4355, 1777, 512, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112704, 4407, 261, 675, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112745, 4182, -161, 894, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112786, 4259, 64, 136, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112820, 4927, 65, 209, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112855, 4518, 134, 515, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112890, 4337, 32, 1180, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112925, 3869, 1144, -677, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112960, 4275, 812, 1331, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
112995, 4111, 974, 874, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113030, 3766, 92, 48, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113065, 4345, 444, 724, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113100, 4212, -1069, -567, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113135, 4179, 1696, 1704, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113175, 4807, 566, 1596, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113215, 6334, -42, 3724, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113255, 6844, -317, 6293, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113296, 6567, -1374, -173, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113336, 6207, 2152, -6556, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113376, 4551, 2847, -3681, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113417, 4990, -2056, -2106, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113457, 3210, -3155, -699, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113497, 4142, 167, -1846, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113538, 4040, 1544, -2396, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113574, 4370, 1515, -1690, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113611, 4927, 1210, -1507, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113647, 3704, 317, -1065, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113684, 4392, 1068, 667, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113720, 2407, 836, 147, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113757, 3400, 1300, 47, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113793, 3050, 1547, -992, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113830, 3023, 1222, -566, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113866, 2863, 279, -341, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113903, 3021, 347, 14, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113940, 2442, 813, 310, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
113979, 2263, 1900, -479, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114018, 2896, 1771, -455, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114058, 3103, 2087, -760, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114097, 3311, 2190, -1129, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114137, 3504, 2105, -842, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114176, 3452, 1881, -758, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114215, 3465, 1561, -542, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114255, 3615, 1197, -361, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114294, 3740, 1307, -351, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114334, 3770, 1143, -281, 80, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114374, 3828, 1181, -455, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114414, 4269, 2091, -475, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114454, 4519, 2414, -384, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114494, 4207, 2670, 402, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114534, 3963, 2490, 330, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114574, 3674, 2347, 540, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114614, 3259, 2698, 1069, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114654, 3027, 2416, 640, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114694, 3285, 3642, 706, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114735, 3344, 3451, 1198, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114771, 3493, 3099, 1732, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114808, 2810, 2595, 1823, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114845, 2306, 3266, 2180, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114882, 1670, 2808, 2415, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114919, 1459, 3272, 3095, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114955, 952, 3841, 2958, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
114992, 580, 3580, 3154, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115029, 323, 3577, 3111, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115066, -264, 2680, 2760, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115103, -918, 2099, 2633, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115140, -1056, 2317, 2315, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115185, -1456, 2620, 3022, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115230, -2010, 1199, 1920, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115276, -2375, -673, 795, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115321, -2657, -1357, 562, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115367, -2909, -1184, 144, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115412, -3142, -1194, -756, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115457, -2496, -822, -508, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115503, -2387, 377, -614, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115548, -1545, 1009, 1131, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115594, -929, 2027, 1358, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115625, 1111, 5091, 3230, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115656, 1266, 3753, 4672, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115687, 2185, 2774, 5794, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115718, 1968, 5469, 4837, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115749, 2080, 3706, 4704, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115780, 1969, 2315, 4628, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115811, 2813, 1665, 2437, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115842, -397, 2854, 2611, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115873, 454, 2849, 3106, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115904, 654, 3197, 2584, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115936, 812, 3524, 1731, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
115975, 198, 3802, 1437, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
116014, 516, 3437, 1952, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
116053, 479, 3480, 1665, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
116092, 441, 3667, 1517, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
116131, 409, 4034, 1047, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
116170, 308, 4303, 841, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
116209, 338, 4504, 496, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
116248, 252, 4450, 326, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
116287, 240, 4238, 387, 79, 0ef588e6-ad08-4804-8a01-4d024148d789, , transisi, transisi_sujud_ke_bersedekap, , 
