480544, 3381, 1593, 1775, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483281, 5233, -553, 1338, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483322, 6746, 1358, 3188, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483358, 2381, 80, 1361, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483394, 4139, 2475, 986, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483431, 4204, 568, 1215, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483467, 4059, 1179, 800, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483504, 4106, 811, 694, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483540, 4050, 832, 521, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483577, 4103, 835, 421, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483613, 4080, 844, 319, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483650, 4036, 831, 198, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483686, 4101, 796, 165, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483723, 4042, 849, 34, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483762, 4080, 783, 7, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483802, 4053, 875, -38, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483841, 4004, 578, 81, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483881, 4046, 525, -88, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483920, 4137, 559, -180, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483960, 4124, 525, -229, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
483999, 4163, 512, -157, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484039, 4156, 628, -86, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484078, 4158, 515, 5, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484118, 4222, 406, 189, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484153, 4428, 871, 211, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484189, 4776, 582, 530, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484225, 5310, 591, 1024, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484260, 6140, 390, 2047, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484296, 6361, 825, 669, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484332, 4616, 856, -762, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484368, 3797, 869, -359, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484403, 3912, 1143, -12, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484439, 3591, 726, -116, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484475, 3087, 469, -49, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484511, 2979, 924, 386, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484552, 2446, 1633, 3603, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484593, 3891, -1356, 4722, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484634, 1498, 1189, 520, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484675, 1427, 1541, 2184, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484717, 2417, 1608, 6569, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484758, 2026, 2437, 5260, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484799, 1993, 2199, 2946, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484840, 1897, 1166, 2159, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484881, 1940, 1070, 2461, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484923, 2495, 1896, 2890, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
484962, 2642, 2468, 2897, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485002, 2373, 2582, 2578, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485042, 1511, 2960, 2725, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485081, 867, 2862, 2781, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485121, 797, 2227, 3804, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485161, 1941, 1587, 4365, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485200, 2163, 1698, 3927, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485240, 1466, 1967, 3063, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485280, 2174, 1893, 3019, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485320, 2568, 1778, 2706, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485358, 2592, 1233, 3020, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485397, 3615, 2109, 2104, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485435, 3420, 2062, 1601, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485474, 2928, 2372, 1230, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485513, 3416, 2246, 764, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485551, 3896, 2154, 297, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485590, 4088, 2264, 733, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485629, 4275, 1634, 83, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485667, 4418, 1214, 597, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485706, 4509, 677, 486, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485745, 4770, 1021, -62, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485782, 4361, 564, 313, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485819, 3515, 120, 251, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485857, 3159, 459, 1112, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485894, 2957, 464, 1209, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485932, 2947, 609, 1474, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
485969, 3392, 720, 822, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486006, 3837, 570, 428, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486044, 4125, 875, 322, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486081, 4170, 1065, 95, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486119, 4064, 1249, 275, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486155, 4230, 1662, 453, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486192, 4220, 2265, 177, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486228, 4477, 2437, 361, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486265, 4496, 2640, 696, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486302, 4268, 2936, 947, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486338, 3971, 3754, 840, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486375, 3865, 3815, -166, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486412, 3390, 3794, -330, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486448, 2585, 3317, -26, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486485, 1904, 2893, 176, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486522, 1058, 2989, 99, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486562, 569, 3068, -227, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486602, 92, 2610, -16, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486642, -330, 2513, 630, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486682, -716, 2686, 640, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486722, -801, 2771, 440, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486762, -993, 2904, 439, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486802, -1137, 2917, 512, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486842, -1135, 3352, 595, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486882, -1120, 4601, 1085, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486923, -1180, 4514, 111, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
486964, -1158, 4152, -230, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487006, -900, 3833, -45, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487047, -862, 3902, 61, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487089, -983, 3893, -128, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487130, -981, 4125, -139, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487172, -534, 3313, -3, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487213, -694, 3816, 49, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487255, -187, 4072, 106, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487296, -1328, 3955, -113, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487338, -1005, 4037, 585, 73, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487372, -971, 4444, 209, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487407, -828, 4552, 343, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487441, -909, 4346, 175, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487476, -758, 3797, 385, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487511, -691, 4253, -236, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487545, -660, 3977, -412, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487580, -675, 3501, -516, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487615, -540, 3125, -421, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487649, -541, 3294, -275, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487684, -605, 3627, -555, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487719, -717, 4033, -528, 74, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487762, -700, 4025, -480, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487805, -768, 3940, -530, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487848, -705, 4229, -797, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487892, -611, 3981, -758, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487935, -785, 3849, -748, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
487978, -854, 4093, -989, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
488022, -849, 4012, -952, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
488065, -904, 3976, -979, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
488108, -1072, 3985, -982, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
488152, -904, 3883, -965, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
488188, -919, 3991, -1067, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
488225, -919, 3929, -1025, 75, da66d3d4-6449-4204-9fba-5d65cc5207dc, , transisi, transisi_sujud_ke_bersedekap, , 
