57152, 3148, 1870, 1596, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57780, 4986, 2155, 1055, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57813, 4881, 934, 1545, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57847, 4418, 678, 950, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57887, 4060, 707, 746, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57927, 3603, 623, 844, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
57967, 3447, 512, 643, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58007, 3068, 670, 346, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58047, 2954, 985, 987, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58087, 2972, 806, 694, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58127, 2451, 5478, 10094, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58167, 1743, 716, 2000, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58207, 1000, 1787, 864, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58248, 281, 1785, 1792, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58296, 1114, 1903, 7138, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58345, 836, 1426, 4644, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58393, 1635, 2733, 2937, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58442, 1460, 1624, 2493, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58491, 1717, 1846, 3411, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58539, 1389, 1793, 2861, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58588, 2103, 2521, 3125, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58636, 1634, 2600, 3407, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58685, 1797, 2496, 3118, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58734, 1632, 2028, 3040, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58762, 1701, 2258, 2671, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58790, 2163, 2648, 2780, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58819, 2095, 2262, 2898, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58847, 1524, 1838, 2825, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58875, 894, 2674, 3198, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58904, 438, 2987, 4067, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58932, 1283, 2147, 4253, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58960, 1500, 1431, 3747, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
58989, 1498, 3007, 3158, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59017, 2519, 1374, 2922, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59046, 2686, 2305, 2446, 67, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59086, 2482, 2572, 2199, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59126, 2659, 2600, 2056, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59166, 3250, 2443, 1256, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59206, 3926, 2284, 798, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59247, 4299, 2030, 249, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59287, 4460, 1868, 282, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59327, 4915, 1192, 418, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59367, 5008, 974, 549, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59407, 4535, 959, 252, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59448, 4290, 1444, 418, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59484, 3251, 1542, 801, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59521, 2752, 1170, 1122, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59558, 2486, 970, 1523, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59595, 2214, 874, 1811, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59632, 2757, 1273, 1124, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59669, 3481, 738, 858, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59706, 4083, 1290, 569, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59743, 4516, 1959, 750, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59780, 4561, 2639, 212, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59817, 4834, 2269, 197, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59854, 4846, 2314, 268, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59897, 4599, 2280, 739, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59940, 4286, 3325, 724, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
59983, 3977, 3791, -234, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60026, 3627, 3804, -260, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60069, 2516, 3331, -801, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60112, 1628, 2954, -1043, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60155, 763, 2919, -987, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60198, 261, 2785, -1142, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60241, -188, 2401, -457, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60284, -555, 2756, -341, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60320, -841, 2373, 46, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60356, -1012, 2583, 16, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60393, -1121, 2839, 56, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60429, -1155, 3081, 123, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60466, -1305, 3563, 234, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60502, -568, 4991, 164, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60538, -1228, 4295, -953, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60575, -1180, 3667, -1146, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60611, -1067, 4114, -1022, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60648, -1238, 3691, -891, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60687, -1720, 6243, -2598, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60727, -1677, 2166, -459, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60767, -609, 4676, -849, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60807, -204, 4098, -994, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60847, -712, 4105, -570, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60887, -891, 4111, -960, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60927, -749, 4547, -801, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
60967, -879, 4350, -916, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
61007, -647, 3780, -951, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
61047, -910, 3654, -1397, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
61087, -729, 3048, -884, 66, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
61127, -802, 2805, -523, 64, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
61167, -689, 3607, -881, 64, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
61207, -658, 3986, -920, 64, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
61247, -1009, 3944, -788, 64, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
61288, -757, 4224, -1061, 64, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
61328, -1014, 4053, -1186, 64, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
61368, -692, 4081, -1384, 64, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
61408, -632, 4048, -1294, 64, e76cf862-e314-43d4-b49b-d7ad43d33557, , transisi, transisi_sujud_ke_bersedekap, , 
