94539, 2873, 1725, 2783, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95531, 1044, 417, -2548, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95566, 3675, 955, -304, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95602, 2773, 439, 972, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95637, 3644, -322, 1923, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95673, 3184, 318, 853, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95708, 3513, 542, 1058, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95744, 5084, 1478, 6798, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95780, 5092, 2418, 4882, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95820, 1652, 1009, 801, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95861, 1340, 1244, 2031, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95902, 2235, 1338, 2405, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95943, 2082, 1422, 2027, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95984, 2624, 1321, 2972, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96025, 3307, 1644, 4703, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96066, 3247, 1865, 3248, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96107, 2586, 1280, 2743, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96148, 2301, 1090, 1674, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96189, 2664, 1643, 1449, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96229, 4050, 2319, 2546, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96269, 4987, 3774, 5106, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96309, 4430, 1425, 4207, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96349, 3594, 837, 2307, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96389, 2092, 1841, 2805, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96429, 1635, 1855, 3118, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96469, 2660, 1930, 2392, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96509, 3672, 1724, 1241, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96549, 3926, 1336, 1470, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96589, 3341, 1946, 1116, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96624, 3529, 2038, 1375, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96659, 3208, 1811, 919, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96695, 3023, 1509, 416, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96730, 3612, 1568, 146, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96766, 4241, 1209, 57, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96801, 5435, 1425, 455, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96837, 4733, 1054, 19, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96872, 3586, 97, -25, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96908, 3347, -368, -380, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96943, 2295, 122, -515, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
96979, 2608, 293, -553, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97020, 2823, 229, -372, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97061, 2960, 675, -662, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97103, 3452, 107, -988, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97144, 3647, 508, -975, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97186, 3457, 1062, -1310, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97227, 3590, 1053, -1144, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97268, 3823, 1417, -962, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97310, 3854, 725, -434, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97351, 3617, 872, -309, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97393, 3862, 374, -164, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97429, 4783, 1108, 927, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97466, 3696, -59, 1418, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97503, 4595, 52, 1323, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97540, 5370, 499, 1874, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97577, 6066, 1203, 2431, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97613, 6246, 2271, 2195, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97650, 6323, 2349, 1030, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97687, 6461, 2971, 1258, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97724, 7174, 4247, 1256, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97761, 6418, 3775, 451, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97798, 4805, 3451, -701, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97837, 3718, 3141, -789, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97877, 2216, 1381, -693, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97917, 1302, 254, -134, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97957, 1229, 93, 87, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
97997, 1033, 191, 780, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98037, 1060, 449, 1652, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98077, 1496, 1344, 2013, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98117, 1766, 2286, 3144, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98157, 466, 4697, 916, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98197, 248, 5647, 856, 92, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98235, -262, 4363, 501, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98274, 698, 4513, -34, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98312, 381, 2879, -71, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98351, -32, 3769, 294, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98390, -281, 4833, 397, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98428, -324, 4972, 46, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98467, -153, 4808, -230, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98505, -19, 4451, -214, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98544, -29, 3807, -255, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98583, -17, 3702, -280, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98618, -96, 3627, -436, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98654, 73, 3650, -576, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98689, 60, 3609, -704, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98725, -189, 4352, -1061, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98761, -334, 4763, -994, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98796, -199, 4533, -1022, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98832, -45, 4237, -815, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98868, 28, 3817, -848, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98903, -76, 3658, -977, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98939, -82, 3616, -1071, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
98975, -51, 3810, -1112, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
99014, -185, 4067, -1135, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
99054, -269, 4265, -1142, 91, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
