52795, 2312, 2246, 2630, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53433, 2487, 2026, 3356, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53472, 3406, 1993, 3058, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53511, 3308, 1666, 2876, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53550, 3211, 1669, 2717, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53589, 2850, 1508, 2955, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53625, 2822, 1645, 2564, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53662, 2547, 1536, 2592, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53699, 2539, 1579, 2886, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53735, 2310, 1586, 2527, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53772, 2001, 1974, 2408, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53809, 1618, 1915, 2484, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53846, 1364, 1629, 2362, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53882, 333, 3857, 3683, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53919, 2102, 1463, 3794, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53956, 1897, 2517, 2410, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
53993, 1446, 1567, 2748, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54033, 1312, 1371, 3856, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54074, 837, 1337, 3461, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54115, 1392, 2584, 3243, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54156, 2062, 2456, 2727, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54197, 2389, 1793, 3047, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54237, 2431, 1842, 2802, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54278, 2426, 2084, 2887, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54319, 2234, 1893, 2903, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54360, 2076, 1728, 2961, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54401, 2327, 1920, 2964, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54436, 2331, 1839, 2841, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54471, 2660, 1267, 2886, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54506, 2492, 1147, 2828, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54541, 2503, 1070, 3136, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54576, 2300, 1305, 2914, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54611, 2330, 1385, 2992, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54646, 2363, 1507, 2889, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54681, 2661, 1183, 2861, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54716, 2814, 1338, 2711, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54751, 3322, 1900, 2271, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54787, 4002, 1807, 1942, 104, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54827, 3836, 943, 2434, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54868, 3655, 1538, 2470, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54908, 4712, 1868, 2678, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54949, 3359, 1572, 2105, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
54990, 4510, 1322, 1739, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55030, 3871, 737, 2211, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55071, 3841, 1222, 2187, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55111, 3611, 759, 1405, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55152, 3519, 1038, 1188, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55193, 3337, 1165, 1107, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55233, 3501, 1215, 1079, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55274, 3563, 1069, 921, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55315, 3484, 1232, 701, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55356, 3411, 687, 832, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55397, 3163, 524, 600, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55438, 3492, 595, 464, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55479, 3665, 679, 213, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55520, 4179, 1201, 170, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55561, 3996, 769, 310, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55602, 3932, 824, 672, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55636, 4038, 384, 1136, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55671, 4086, 877, 1396, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55706, 3989, 1212, 1336, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55741, 3732, 1028, 1064, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55776, 3978, 934, 1222, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55811, 3883, 1288, 1272, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55846, 3894, 1174, 1337, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55881, 3807, 1457, 1306, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55916, 3753, 1450, 1534, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55951, 3531, 1227, 1864, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
55986, 3209, 1477, 2632, 101, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56026, 2623, 2187, 3204, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56067, 3501, 2586, 3175, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56107, 4020, 3978, 3835, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56148, 4106, 4987, 3349, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56189, 2275, 1638, 2062, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56229, 2948, 1926, 2451, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56270, 2380, 2839, 2711, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56310, 1592, 2484, 2581, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56351, 1916, 2413, 2328, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56392, 2440, 1528, 2472, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56431, 3176, 1350, 2234, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56471, 3106, 2218, 2133, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56510, 3013, 2396, 1769, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56550, 3549, 1889, 1693, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56590, 3937, 1982, 1665, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56629, 3661, 1780, 1128, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56669, 4126, 1770, 1156, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56708, 3670, 1699, 1052, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56748, 3467, 1418, 1173, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56788, 3891, 1332, 932, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56824, 3460, 1057, 886, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56860, 3544, 1217, 1047, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56896, 3311, 1158, 988, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56932, 3316, 1061, 1063, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
56968, 3125, 1367, 933, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57005, 2688, 753, 879, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57041, 2759, 1270, 1079, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57077, 2662, 1980, 1200, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57113, 2894, 1850, 1524, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57149, 3642, 2552, 1760, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57186, 3822, 3107, 1885, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57229, 3886, 3116, 2252, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57273, 3649, 3532, 2202, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57316, 3424, 3741, 2540, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57360, 3441, 4033, 2561, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57403, 3127, 4111, 2792, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57447, 2819, 3893, 2819, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57490, 2288, 3578, 3003, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57534, 1267, 3316, 2725, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57577, 449, 2974, 2192, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57621, -338, 2330, 2053, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57654, -1268, 1734, 1522, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57687, -1820, 999, 1103, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57721, -2428, 430, 1248, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57754, -2844, 88, 857, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57787, -2953, -317, 748, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57821, -3076, -678, 579, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57854, -3214, -1214, 498, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57887, -3325, -1232, 438, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57921, -3481, -1209, 843, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57954, -3552, -1189, 847, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
57988, -3697, -1087, 781, 99, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58032, -3689, -801, 1170, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58077, -3834, -1135, 774, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58122, -3708, -1092, 800, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58167, -3705, -1181, 659, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58212, -3550, -1317, 429, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58257, -3308, -1568, -63, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58302, -2770, -1527, -217, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58347, -2704, -577, -100, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58392, -2358, -219, 1124, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58437, -2437, 938, 1673, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58470, -2824, 1284, 1975, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58504, -2799, 2688, 1508, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58538, -2052, 3173, 2203, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58572, -403, 3944, 2765, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58606, 118, 3698, 3482, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58640, 310, 2783, 4204, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58674, 404, 4436, 4260, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58708, 862, 4579, 4631, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58742, 323, 2611, 3416, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58776, -1357, 3904, 432, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58811, -404, 3150, 2851, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58846, -725, 3979, 1225, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58881, -33, 4701, 1590, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58916, 204, 4691, 902, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58951, 185, 4256, 905, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
58986, 119, 3935, 900, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
59021, 147, 4075, 726, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
59056, 245, 4107, 767, 97, 068b0c03-0b57-4c83-990c-1ac2643e98e1, , transisi, transisi_sujud_ke_bersedekap, , 
