116328, 2765, 828, 2982, 88, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119239, 3885, 108, 1464, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119277, 3883, 144, 1525, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119315, 3889, 175, 1537, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119353, 3807, 118, 1588, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119392, 3875, 71, 1603, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119430, 3787, 2, 1672, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119468, 3819, 92, 1750, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119507, 3946, -158, 1771, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119545, 4144, -225, 1928, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119583, 4324, -342, 2273, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119622, 5665, -190, 3421, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119659, 6700, -398, 3355, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119696, 5830, -115, -975, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119733, 5058, 343, -344, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119770, 2748, 637, -530, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119807, 3833, 334, -613, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119844, 5452, 5034, 5201, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119881, 1844, 1468, -688, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119918, 2636, 941, 557, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119955, 1988, -326, 2424, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
119992, 1986, 710, 4141, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120029, 1498, 197, 4299, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120073, 1724, 649, 5051, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120118, 2282, 1559, 2634, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120162, 1890, 777, 1357, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120207, 2564, 795, 2305, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120251, 3568, 1202, 3562, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120296, 5128, 2618, 5183, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120340, 3312, 1466, 4573, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120385, 2842, -192, 3450, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120429, 2507, 821, 3113, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120474, 2216, 1361, 3285, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120510, 3149, 381, 3149, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120546, 3055, 1728, 1737, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120583, 3330, 1179, 1748, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120619, 3294, 1088, 2097, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120656, 3568, 784, 2157, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120692, 3426, 981, 1412, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120728, 3499, 1188, 1003, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120765, 3804, 841, 609, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120801, 4187, 1001, 809, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120838, 5470, 861, 1439, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120874, 4807, 980, 789, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120911, 3638, -2, 42, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120948, 3247, 109, -912, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
120984, 2568, 649, -1166, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121021, 2587, -195, -836, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121058, 2792, 138, -912, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121095, 3081, -159, -753, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121131, 3350, 138, -682, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121168, 2417, -559, -619, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121205, 3742, 292, -712, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121242, 3651, 806, -733, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121281, 4029, 666, -755, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121320, 4312, -367, 206, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121359, 4485, -835, 969, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121399, 4620, -1775, 1374, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121438, 5350, -1912, 1398, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121477, 6086, -1427, 1588, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121517, 6476, -934, 1746, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121556, 7202, -39, 1182, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121595, 7162, 1584, -558, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121635, 6522, 3222, -696, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121672, 6378, 3643, -1256, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121709, 5215, 2853, -1402, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121746, 3747, 2134, -1508, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121783, 2966, 1426, -836, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121820, 2157, 515, 402, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121857, 2169, 688, 828, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121894, 2074, 433, 1593, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121931, 1888, 1008, 1911, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
121968, 1958, 3051, 2035, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122005, 1674, 1724, 1785, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122042, 762, 2402, 1316, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122083, 1481, 5094, 1286, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122124, 680, 3457, 1918, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122165, 623, 2933, 1540, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122206, 368, 4326, 1789, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122248, 553, 4811, 1582, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122289, 433, 4424, 1185, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122330, 639, 3940, 1130, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122371, 526, 3641, 910, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122412, 595, 3479, 938, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122454, 558, 3308, 855, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122493, 478, 3515, 852, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122532, 581, 4282, 1086, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122571, 635, 4465, 1179, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122610, 626, 4357, 1002, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122649, 691, 4230, 947, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122688, 646, 3884, 945, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122727, 582, 3766, 979, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
122766, 567, 4002, 947, 83, 75087f4e-8598-4de4-9009-6297431e31b3, , transisi, transisi_sujud_ke_bersedekap, , 
