212507, 2837, 975, 2872, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213494, 3322, 956, 2942, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213535, 3668, 419, 2981, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213576, 3704, 919, 2679, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213617, 3641, 1216, 2260, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213651, 4455, 1090, 1751, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213686, 3878, 685, 1913, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213720, 4281, 671, 1800, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213755, 4235, 866, 229, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213790, 3827, 210, 215, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213824, 3987, 649, 253, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213859, 4194, 165, -117, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213894, 3628, 499, -82, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213928, 3743, 399, -230, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213963, 3654, 397, -14, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213998, 3583, 263, -302, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214038, 4425, -1038, 753, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214078, 4423, 1193, 490, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214118, 4450, 343, 861, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214158, 3935, 601, 926, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214198, 3971, 651, 883, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214238, 3863, 496, 756, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214278, 3849, 691, 1112, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214318, 3828, 667, 1055, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214358, 3922, 722, 1128, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214399, 3897, 729, 1230, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214440, 3753, 773, 1095, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214481, 3864, 888, 1521, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214523, 3832, 1007, 1496, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214564, 3782, 526, 1012, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214606, 3709, 918, 1921, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214647, 3725, 1043, 1575, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214688, 3428, 1221, 1456, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214730, 3442, 1534, 1762, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214771, 4153, 1590, 1615, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214813, 2492, 1294, 2169, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214853, 2711, 1461, 2050, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214894, 3870, 1814, 2091, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214935, 3738, 1395, 1686, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
214976, 3279, 1440, 2035, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215017, 3825, 2262, 1804, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215058, 3337, 1617, 2036, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215099, 2977, 1103, 2105, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215140, 2762, 1072, 2232, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215181, 2657, 1945, 2188, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215222, 2569, 880, 3132, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215263, 4965, 2708, 3858, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215297, 4283, 1991, 3044, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215332, 4992, 4535, 1835, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215367, 3924, 1286, -62, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215402, 2972, 1419, 2470, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215437, 2690, -1860, 4647, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215471, 2297, 3517, 3231, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215506, 2517, 2183, 2664, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215541, 2939, 379, 1765, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215576, 3684, 1682, 2374, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215611, 3348, 659, 912, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215647, 3554, 1320, 1277, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215683, 3749, 1243, 1328, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215719, 3347, 1696, 675, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215755, 3677, 1386, 518, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215791, 4038, 1787, 117, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215828, 3587, 1320, -23, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215864, 3331, 866, 125, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215900, 3231, 851, -83, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215936, 3500, 372, -450, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
215972, 3962, 1310, -381, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216009, 3781, 761, -284, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216049, 3410, 563, -836, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216089, 4071, 1091, -1183, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216129, 3828, 222, -1305, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216169, 3945, 315, -1727, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216210, 3773, -315, -1953, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216250, 4424, 1374, -2161, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216290, 4510, 1339, -2699, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216330, 3365, 244, -1806, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216370, 3464, 44, -2497, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216411, 3431, 25, -3016, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216450, 2886, 976, -2751, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216490, 2994, 315, -2728, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216530, 3084, 735, -2527, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216570, 3098, 988, -2429, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216610, 3276, 534, -2086, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216650, 3366, 1234, -2263, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216690, 3389, 563, -2162, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216730, 3419, 295, -2600, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216770, 3179, 621, -2397, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216810, 3075, 1296, -2342, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216848, 3211, 1965, -2560, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216886, 3197, 1939, -2661, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216925, 3539, 1897, -2528, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
216963, 3526, 2100, -2384, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217002, 3112, 2580, -2120, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217040, 2852, 3205, -2068, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217079, 2514, 3167, -1851, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217117, 2517, 3689, -1564, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217156, 2623, 3869, -1328, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217194, 2312, 3517, -1000, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217233, 1735, 3704, -1025, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217271, 1463, 3663, -804, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217309, 1034, 3287, -514, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217347, 714, 2362, -77, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217385, 294, 2632, -116, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217423, 490, 2493, 208, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217461, 567, 3032, 251, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217499, 444, 3848, 260, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217537, 160, 3676, 414, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217575, 319, 3509, 370, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217614, 138, 4147, 235, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217649, -33, 4329, 141, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217684, 258, 4803, 330, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217720, 505, 3730, 757, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217755, 279, 3409, 335, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217791, -301, 4383, -1156, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217826, -178, 4237, 291, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217862, -390, 3794, 32, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217897, -281, 4152, -55, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217933, -254, 4583, -284, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
217968, -142, 4399, -127, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218004, -158, 4083, -163, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218046, -133, 4021, -146, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218088, -293, 4249, -70, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218130, -124, 4023, 187, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218172, -126, 3665, 183, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218214, -98, 3574, 256, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218256, -109, 3828, 257, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218298, -72, 4120, 148, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218340, -39, 4419, 31, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218382, -55, 4259, 153, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218425, -23, 4149, 245, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218463, -34, 4042, 277, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
218502, -29, 4091, 238, 104, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
