62813, 3549, 1829, 884, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65958, 4740, 567, 447, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65995, 5694, 589, 1189, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66032, 5528, 178, 2424, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66069, 5393, 1263, -32, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66106, 5386, 1167, -661, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66140, 4691, 472, -549, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66174, 4480, 243, -718, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66209, 3597, 132, -104, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66243, 4163, 747, 991, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66278, 4005, 1528, 681, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66312, 2588, 1061, 561, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66347, 2191, 953, 650, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66381, 1639, 1327, -458, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66416, 3887, 4101, 7681, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66450, -206, 1723, 4133, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66485, 935, 2827, 3511, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66525, 1388, 1861, 2323, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66565, 1673, 1581, 1327, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66605, 3267, 2615, 2812, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66645, 2857, 1453, 1831, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66685, 3551, 3550, 3853, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66725, 593, 2728, 2993, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66765, 2077, 1943, 3414, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66805, 3534, 2208, 3435, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66845, 1790, 2876, 3516, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66886, 2657, 2163, 3093, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66922, 3215, 1341, 2490, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66959, 2923, 1969, 2194, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
66995, 3181, 3037, 1221, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67032, 3164, 2125, 1116, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67069, 3075, 2452, 810, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67105, 3404, 2380, 512, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67142, 3511, 1554, -72, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67179, 2927, 1261, 185, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67215, 4229, 2755, 256, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67252, 3705, 979, -306, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67289, 3717, 424, 398, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67330, 3569, 267, 494, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67371, 4207, 852, 722, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67413, 4390, 1055, 496, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67454, 4023, 867, 271, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67496, 3336, 492, 445, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67537, 3772, 18, -9, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67578, 4589, 1265, -161, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67620, 4973, 1879, -321, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67661, 5345, 2388, 5, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67703, 5542, 2393, -170, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67742, 5037, 3348, -209, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67781, 4299, 2905, -398, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67820, 3464, 3314, -1043, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67859, 2596, 3353, -1279, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67898, 1608, 3147, -1400, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67937, 315, 2191, -1211, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
67976, 13, 2316, -1026, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68015, -734, 1665, -630, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68054, -1094, 2045, -655, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68093, -954, 1795, -413, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68133, -1030, 3224, -587, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68173, -1295, 2407, 52, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68213, -603, 3081, 16, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68253, -2137, 4821, -206, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68293, -2358, 3121, -1108, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68333, -787, 4697, -1886, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68373, -1092, 3912, -1851, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68413, -1437, 3355, -1810, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68453, 2310, 7906, 200, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68493, -4004, 778, -98, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68533, -988, 2799, -2015, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68567, -1075, 2048, -498, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68601, -606, 5547, -2066, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68635, -1264, 4281, -1211, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68669, -1070, 3568, -1135, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68704, -1052, 4162, -1514, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68738, -900, 3582, -1781, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68772, -956, 3229, -2055, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68806, -918, 3052, -1893, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68840, -757, 2587, -1264, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68875, -1063, 3164, -1006, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68913, -1172, 3240, -1509, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68952, -758, 3764, -1584, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
68990, -1390, 3827, -1757, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
69029, -1344, 3687, -1798, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
69068, -1317, 3845, -1820, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
69106, -1102, 3943, -1664, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
69145, -1122, 3307, -1521, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
69184, -1111, 3583, -1550, 74, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
