238164, 2867, 1436, 2604, 79, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238886, 2723, 1357, 2764, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238928, 2753, 1410, 2789, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238968, 2750, 1335, 2889, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239009, 2867, 1395, 2627, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239050, 2968, 1564, 2707, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239090, 3222, 1211, 2572, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239131, 3483, 1292, 2938, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239172, 4275, 1512, 3505, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239212, 3991, 1187, 3142, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239253, 3888, 339, 1781, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239294, 4168, 905, 2460, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239335, 4375, 1343, 910, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239371, 4581, 1317, 717, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239408, 4115, 978, 366, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239444, 3760, 791, -36, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239481, 3697, 669, -19, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239518, 3432, 646, -64, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239554, 3178, 868, -167, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239591, 4219, 943, -23, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239628, 3769, 7037, 1015, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239664, 6109, -518, 6067, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239701, 1067, -17, 1233, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239738, 2684, 1165, 1083, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239773, 2460, 731, 4120, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239808, 3715, 686, 3473, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239844, 2451, 645, 2468, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239879, 2996, 1062, 2124, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239915, 3011, 1240, 1891, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239950, 3190, 1514, 2005, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
239985, 3086, 1178, 2507, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240021, 3113, 1184, 2567, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240056, 2862, 1264, 2726, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240092, 2781, 1358, 2453, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240129, 2679, 831, 2719, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240166, 2964, 573, 2822, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240203, 3139, 910, 2805, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240241, 2937, 957, 2676, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240278, 2591, 423, 2713, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240315, 2993, 749, 3156, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240352, 2699, 1507, 3090, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240390, 2992, 858, 3077, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240427, 3087, 711, 3159, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240464, 3052, 447, 2961, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240502, 3209, 766, 2692, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240541, 3281, 1172, 2605, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240580, 3133, 1194, 2484, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240619, 3095, 1146, 2092, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240658, 3050, 1013, 2118, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240697, 3170, 978, 2469, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240736, 3487, 1243, 2831, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240775, 3357, 737, 2986, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240814, 3177, 1305, 2670, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240853, 3211, 806, 2793, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240893, 2647, 40, 2712, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240934, 2325, 529, 3224, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
240975, 1807, 1338, 2482, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241017, 2189, 1477, 2668, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241058, 2564, 1461, 3012, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241100, 2773, 1734, 3064, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241141, 3186, 1823, 3235, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241182, 2945, 809, 2667, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241224, 2937, 977, 3148, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241265, 2396, 1054, 3090, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241307, 2368, 965, 3150, 77, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241342, 2162, 882, 3133, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241377, 2146, 1179, 3098, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241412, 2215, 1275, 2977, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241447, 2330, 1673, 3012, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241482, 2484, 1693, 3324, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241517, 2475, 1486, 3027, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241552, 2628, 1063, 3517, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241587, 2439, 1353, 3160, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241622, 2927, 1175, 4350, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241657, 2663, 1203, 5116, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241692, 3395, 2686, 4198, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241732, 2620, 755, 3940, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241772, 2427, 895, 3826, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241812, 2371, 1099, 3273, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241852, 2708, 1193, 2372, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241892, 2813, 475, 2274, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241932, 3158, 479, 2347, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
241972, 3775, 84, 2703, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242012, 3964, 83, 1919, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242052, 4761, -335, 1167, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242092, 5412, 703, 673, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242129, 5069, 1782, 26, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242166, 4386, 1518, 69, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242204, 4172, 1140, 399, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242241, 3996, 252, 686, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242279, 3428, 817, 940, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242316, 3133, 212, 1370, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242354, 2743, 929, 935, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242391, 2609, 608, 1125, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242429, 2738, 916, 976, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242466, 3072, 610, 763, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242504, 3341, 989, 654, 75, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242542, 3731, 1675, 203, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242580, 3866, 2130, -51, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242619, 3946, 1896, 150, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242657, 4055, 2050, 175, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242696, 3966, 2244, 280, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242734, 3838, 2118, 420, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242772, 3723, 2013, 594, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242811, 3601, 2449, 2, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242849, 3664, 2492, 291, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242888, 3370, 2040, 819, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242934, 3065, 2199, 994, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
242981, 3231, 2104, 1417, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243027, 3138, 2191, 1852, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243074, 3092, 2338, 2027, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243121, 3254, 2583, 2024, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243167, 3281, 2703, 1927, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243214, 3011, 2740, 2101, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243260, 2559, 2434, 2205, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243307, 2361, 2468, 2281, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243354, 2133, 2058, 2432, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243384, 2051, 2158, 2345, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243414, 1659, 2066, 2295, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243444, 1444, 2196, 2262, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243475, 987, 3180, 2321, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243505, 889, 2991, 2246, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243535, 1177, 3415, 1864, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243565, 439, 3183, 2242, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243596, 492, 3446, 2278, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243626, 436, 2955, 2118, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243656, 546, 2759, 2094, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243687, 515, 3959, 2162, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243727, -73, 3137, 472, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243767, 14, 3113, 874, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243807, 239, 3005, 1353, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243847, 245, 4084, 314, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243887, 289, 4364, 269, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243927, 406, 4110, -46, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
243967, 102, 4429, -632, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
244007, -52, 4873, -1334, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
244047, 82, 4749, -1449, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
244088, 134, 4245, -1080, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
244126, 203, 3895, -832, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
244164, 235, 3865, -709, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
244202, 221, 4006, -695, 74, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
