94641, 2652, 2758, 1701, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97474, 3999, 923, -275, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97512, 3971, 1058, -268, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97550, 4075, 896, -251, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97590, 4061, 862, -267, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97630, 4010, 780, -290, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97671, 4069, 848, -234, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97711, 4074, 844, -187, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97752, 4089, 800, -92, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97792, 4063, 933, -48, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97832, 4073, 851, 84, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97873, 4105, 847, 165, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97913, 4170, 670, 514, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97954, 4301, 782, 583, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97998, 4569, 1032, 628, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98042, 5744, 1723, 1497, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98086, 6804, 911, 3437, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98130, 5686, 723, -526, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98174, 5426, 1177, -1077, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98219, 3995, 1397, -384, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98263, 3614, 911, -327, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98307, 3528, 420, -399, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98351, 3348, 475, -45, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98395, 2983, 1153, 183, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98440, 2849, 1022, 843, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98473, 2513, 1193, 987, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98506, 1909, 691, 732, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98539, 2634, 2736, 7952, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98572, 2260, 1154, 5439, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98605, 397, 1499, 622, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98638, 766, 3141, 3350, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98671, 629, 3111, 6213, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98704, 550, 2612, 2881, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98737, 1046, 1684, 2024, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98770, 1194, 1985, 3008, 69, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98804, 1246, 2303, 2916, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98839, 1486, 3023, 3094, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98874, 1583, 2961, 3149, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98909, 1569, 2838, 3133, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98944, 1214, 2439, 2888, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
98978, 1041, 2664, 2783, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99013, 1321, 2923, 2613, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99048, 1632, 3091, 3183, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99083, 1763, 2625, 2973, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99118, 1319, 2673, 2135, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99153, 1408, 2649, 2549, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99192, 892, 2509, 2631, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99231, 302, 2941, 3082, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99271, 161, 2965, 2207, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99310, 62, 2911, 2333, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99350, 201, 2615, 3068, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99389, 1123, 3490, 3175, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99428, 1531, 4009, 2755, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99468, 1628, 3654, 2095, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99507, 1419, 3295, 2749, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99547, 1771, 3377, 2213, 71, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99587, 2299, 3206, 1670, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99627, 2321, 3256, 1303, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99667, 2424, 3099, 1573, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99708, 2747, 3226, 687, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99748, 2536, 3186, 829, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99788, 2746, 3071, 1084, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99829, 2841, 2776, 669, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99869, 3036, 2476, 428, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99909, 3721, 2533, 95, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99950, 4555, 3279, -448, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
99988, 4737, 2424, 290, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100026, 5137, 1120, 41, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100064, 4476, 1740, -394, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100102, 4027, 913, -82, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100140, 3590, 880, 14, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100178, 3089, 841, 578, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100216, 3127, 649, 1027, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100254, 3339, 545, 953, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100292, 3530, 734, 847, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100330, 3850, 891, 337, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100368, 4385, 1546, 26, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100406, 4318, 2177, 92, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100444, 4339, 2449, 382, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100482, 4622, 1963, 391, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100520, 4330, 2149, 338, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100559, 3835, 2537, 154, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100597, 3843, 3077, -30, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100635, 3485, 3341, 26, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100673, 2885, 3570, -100, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100711, 1875, 3480, -346, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100750, 959, 3325, -622, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100786, -86, 3412, -931, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100822, -655, 3091, -1040, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100858, -1086, 2529, -834, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100895, -1009, 3049, -683, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100931, -1323, 2726, -512, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
100967, -1326, 3500, -426, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101003, -1448, 2652, -24, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101040, -1318, 3421, -431, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101076, -1424, 2848, -590, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101112, -1677, 3035, -122, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101149, -1399, 3480, 693, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101189, -1996, 4845, -941, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101230, -2067, 3253, -1133, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101270, -1080, 4615, -795, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101311, -2165, 2158, -1000, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101351, -1188, 2909, -12, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101392, -1605, 3736, -600, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101432, -1306, 3956, -381, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101473, -2210, 4360, -1000, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101513, -1537, 4183, -827, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101554, -1653, 4047, -872, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101596, -1710, 3905, -1447, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101639, -1752, 3203, -1560, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101682, -1567, 2552, -1229, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101724, -1425, 2763, -639, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101767, -1498, 2698, -1061, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101810, -1678, 3203, -1243, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101852, -2023, 3716, -1180, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101895, -2521, 3550, -1403, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101938, -2321, 3509, -1537, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
101981, -2012, 3461, -1473, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
102016, -1867, 3387, -1410, 72, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
