110135, 3379, 1976, 1190, 115, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112893, 4140, 460, -287, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112931, 4166, 253, -284, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
112969, 4095, 420, -361, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113008, 4065, 413, -454, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113046, 4091, 481, -504, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113084, 4179, 453, -494, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113122, 4115, 138, -555, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113160, 4081, 237, -594, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113199, 4123, 196, -492, 114, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113240, 4155, 285, -441, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113281, 4115, 284, -281, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113322, 4162, 448, -393, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113363, 4168, 427, -313, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113404, 4230, 336, -193, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113445, 4180, 202, -102, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113486, 4402, 264, 206, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113527, 4783, 723, 399, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113568, 5496, 482, 1072, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113609, 5549, 254, 1828, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113648, 4824, 233, 1579, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113687, 5093, 1267, -1149, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113726, 5256, 1097, -344, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113765, 4788, 494, -397, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113804, 4342, -589, -530, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113843, 3992, 339, -664, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113882, 3860, 920, -59, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113921, 3572, 991, 531, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113960, 3658, 1626, 761, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
113999, 3345, 1434, 1294, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114034, 3148, 1696, 1211, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114069, 2080, 1640, 1340, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114104, 747, 1578, 1905, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114139, 569, 2094, 2230, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114174, 1761, 7145, 6042, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114209, 1260, 2860, 8055, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114244, -123, 2022, 2767, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114279, 488, 1753, 1792, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114314, 1801, 2008, 2833, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114349, 2209, 2533, 3273, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114384, 2383, 2069, 2939, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114426, 2472, 2336, 2853, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114469, 2461, 2086, 2620, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114511, 2726, 2148, 2539, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114554, 2265, 1754, 2059, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114597, 2665, 2244, 2364, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114639, 2615, 1835, 2029, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114682, 2459, 2730, 2033, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114724, 1828, 2358, 2563, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114767, 1950, 2121, 3973, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114810, 1573, 2027, 3440, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114844, 1953, 1247, 4054, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114879, 2865, 3334, 3350, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114914, 3147, 3338, 2390, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114949, 3622, 2563, 1469, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
114984, 3099, 2289, 1205, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115018, 3237, 2315, 855, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115053, 3388, 2566, 431, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115088, 3376, 2257, -382, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115123, 3947, 2869, -30, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115158, 2908, 2244, -8, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115193, 3072, 2256, 214, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115236, 3085, 2237, -958, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115280, 3288, 1581, -415, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115324, 3550, 1528, -36, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115367, 3973, 1602, -444, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115411, 4252, 1737, -1609, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115455, 4539, 1233, -723, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115498, 5519, 897, -103, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115542, 4702, 226, -36, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115586, 3981, 286, 587, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115630, 3501, 379, 255, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115668, 4031, 301, -184, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115706, 4411, 356, -306, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115744, 4453, 865, -537, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115782, 4403, 964, -590, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115821, 4255, 1299, -474, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115859, 4225, 1727, -260, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115897, 4576, 1870, -31, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115935, 4770, 1888, -40, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
115973, 4629, 2957, -157, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116012, 4213, 3242, 33, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116045, 3397, 3474, -84, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116078, 2563, 3120, -122, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116112, 1686, 2829, -290, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116145, 688, 2679, -677, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116178, -28, 2652, -470, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116212, -634, 2899, -336, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116245, -736, 2621, 123, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116278, -1089, 2218, 480, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116312, -1219, 2367, 525, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116345, -1505, 1830, 954, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116379, -818, 3176, 1141, 113, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116424, -1116, 4186, 633, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116469, -1621, 4822, -833, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116515, -1618, 4196, -928, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116560, -1358, 4107, -751, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116606, -1174, 4185, -371, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116651, -1090, 4084, -554, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116696, -1100, 3928, -630, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116742, -940, 3894, -779, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116787, -816, 3856, -446, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116833, -2114, 6155, -1425, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116870, -1325, 3210, 28, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116908, -681, 4372, -396, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116946, -1152, 3924, 86, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
116984, -1066, 3992, 26, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117022, -440, 6742, -221, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117060, -1690, 3957, -217, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117098, -544, 4173, -489, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117136, -1085, 3614, -467, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117174, -1041, 3650, -485, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117212, -915, 3065, -371, 112, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117247, -838, 2925, -55, 110, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117282, -903, 2778, 111, 110, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117318, -1154, 3687, -278, 110, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117353, -1030, 3857, -501, 110, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117388, -1439, 4380, -582, 110, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117424, -1685, 4681, -954, 110, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117459, -1482, 4186, -1053, 110, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117494, -1230, 3938, -952, 110, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
117530, -1210, 3713, -821, 110, 10917e32-5892-4c0c-9c67-922248455baa, , transisi, transisi_sujud_ke_bersedekap, , 
