71199, 3836, 1067, 1154, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71768, 3389, 1166, 2130, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71810, 3373, 1152, 2126, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71853, 3358, 1233, 2112, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71890, 3393, 1209, 2103, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71928, 3369, 1228, 2156, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
71966, 3297, 1244, 2178, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72003, 3313, 1155, 2280, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72041, 3271, 1279, 2294, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72079, 3236, 1164, 2405, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72116, 3316, 1273, 2344, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72154, 3282, 1255, 2472, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72192, 3279, 1201, 2520, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72230, 3430, 848, 2254, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72269, 3481, 812, 2796, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72309, 4010, 827, 2877, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72348, 4554, 938, 1012, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72388, 4723, 128, 1478, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72428, 4310, -80, 2222, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72467, 4327, 475, 2122, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72507, 3712, 4, 2302, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72547, 3794, 206, 2897, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72586, 3290, 569, 3011, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72626, 3052, 576, 2908, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72666, 3065, 252, 2477, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72701, 2998, 432, 1507, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72737, 3653, 2379, 3767, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72773, 2251, -382, 1421, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72808, 2728, -60, 1908, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72844, 2570, 827, 1833, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72880, 2869, 55, 2938, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72915, 2808, 136, 2483, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72951, 3127, 801, 3273, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
72987, 2804, 476, 2439, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73023, 3173, 902, 2847, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73062, 2695, 862, 2851, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73102, 2740, 811, 2766, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73141, 2727, 804, 2758, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73181, 2424, 811, 3198, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73220, 2510, 871, 3193, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73260, 2473, 962, 3258, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73299, 2529, 1025, 3277, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73339, 2364, 1345, 2880, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73378, 2215, 1344, 3185, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73418, 2130, 1481, 3331, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73458, 2101, 1715, 3225, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73493, 2032, 1791, 3166, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73529, 1833, 1777, 3061, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73565, 1834, 1792, 3424, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73601, 1715, 1827, 3471, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73637, 1627, 1832, 3395, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73673, 1687, 1731, 3301, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73709, 1989, 1749, 3126, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73745, 2077, 1711, 3160, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73781, 2007, 1752, 3152, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73817, 1938, 1830, 3188, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73857, 1805, 1923, 3051, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73898, 1827, 1942, 3122, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73938, 1681, 1721, 3222, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
73979, 1481, 1972, 3498, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74020, 481, 1647, 4157, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74060, 119, 1117, 4533, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74101, -844, 1074, 4191, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74141, 864, 2484, 3854, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74182, -198, 1109, 1379, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74223, 1337, 1893, 501, 97, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74258, 3415, 741, 2009, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74294, 5027, 994, 2296, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74330, 5138, 533, 1637, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74366, 5642, 449, 1485, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74402, 6144, 1117, -1398, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74438, 7203, -1428, 612, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74474, 5069, -680, 2082, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74510, 4269, -1035, 1383, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74546, 3859, -32, 708, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74582, 4081, 153, 607, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74618, 4132, -458, 435, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74659, 4184, -137, 283, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74701, 4243, -485, 259, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74742, 4168, -266, 129, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74784, 4146, -470, 83, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74825, 4195, -274, -19, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74867, 4137, -363, -111, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74908, 4166, -349, -199, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74950, 4122, -380, -241, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
74991, 4114, -311, -300, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75033, 4140, -293, -260, 96, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75069, 4119, -263, -278, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75106, 4103, -271, -283, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75143, 4152, 31, -404, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75180, 4165, -424, -231, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75217, 4234, -359, -207, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75253, 4099, -449, -191, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75290, 4138, -554, -79, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75327, 4171, -244, 69, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75364, 4195, -361, 197, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75401, 4494, -117, 147, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75438, 4584, -362, 113, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75475, 5198, -578, 824, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75513, 5841, -288, 1799, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75550, 5638, -838, 2106, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75588, 5191, 712, -297, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75625, 4661, 441, -922, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75663, 4225, -209, -456, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75700, 4009, 129, -440, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75738, 3970, 93, -141, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75775, 3816, 273, 42, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75813, 3531, 270, 350, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75859, 3548, 271, 519, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75906, 3463, -352, 1034, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
75953, 2008, 2466, 6078, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76000, 2761, 2242, 3339, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76047, 1499, 1574, 609, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76093, 1392, 1393, 2559, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76140, 2108, 2280, 4601, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76187, 1859, 3159, 4298, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76234, 1582, 2593, 2867, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76281, 1527, 1724, 2216, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76311, 2179, 1419, 2168, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76341, 2338, 1369, 2408, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76371, 2823, 1593, 2965, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76402, 2940, 1957, 2978, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76432, 2844, 2065, 2669, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76462, 2479, 2063, 2280, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76492, 2219, 1974, 2559, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76523, 1992, 2106, 2595, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76553, 2126, 2020, 2770, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76583, 2328, 1956, 2629, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76614, 2422, 2016, 2641, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76655, 2466, 2124, 2543, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76697, 2587, 2174, 2426, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76738, 2638, 1893, 2413, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76780, 2428, 1588, 2666, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76822, 2549, 1659, 2720, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76863, 2684, 1832, 2733, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76905, 2649, 1406, 2493, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76946, 3226, 1764, 2760, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
76988, 3751, 2317, 3129, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77030, 3921, 2756, 2912, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77067, 4322, 2718, 2710, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77104, 4071, 2257, 2007, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77141, 4106, 2446, 1882, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77178, 3851, 1994, 1387, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77215, 3762, 2099, 763, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77253, 3402, 1778, 288, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77290, 3507, 1869, -319, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77327, 3828, 2045, -197, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77364, 3681, 1947, -103, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77401, 3221, 1654, -442, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77439, 3394, 1575, -350, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77476, 3517, 1660, -692, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77514, 3213, 1546, -178, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77551, 3130, 1925, -617, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77589, 3222, 1359, -762, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77626, 3242, 1013, -632, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77664, 3714, 556, 316, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77701, 3592, 238, -460, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77739, 4165, 285, -485, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77776, 4339, 211, -321, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77814, 4227, 9, -763, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77853, 4344, -48, -1122, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77893, 3842, -786, -1347, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77932, 3730, -937, -983, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
77972, 3926, -541, -818, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78012, 4214, -456, -476, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78051, 4192, -714, -282, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78091, 4168, -416, -194, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78131, 4052, -156, -323, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78170, 4088, 28, -285, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78210, 4116, 252, -483, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78250, 4281, 1167, -530, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78287, 4379, 1340, -457, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78324, 4652, 1603, -360, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78361, 4825, 1947, -174, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78398, 4868, 2275, -300, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78435, 4521, 2838, -226, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78472, 3849, 2738, -278, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78509, 3325, 3042, -407, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78546, 2786, 3156, -223, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78583, 2099, 2955, -78, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78620, 1163, 2838, -137, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78666, 816, 3208, -303, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78712, 744, 4063, -136, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
78759, 505, 3241, 81, 94, 9a08b57e-fd37-4a55-ae4c-706a64402be5, , transisi, transisi_sujud_ke_bersedekap, , 
