295730, 3020, 1141, 2635, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297724, 2458, 1310, 2675, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297765, 3136, 1189, 2867, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297806, 3237, 2116, 1458, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297846, 4891, 1820, 5641, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297887, 4544, 2078, 3427, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297927, 3466, -583, 3635, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
297968, 2660, -385, 3110, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298009, 2558, 1504, 2759, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298048, 2540, 1367, 3176, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298087, 2959, 1334, 2328, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298126, 3517, 1506, 1838, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298165, 3595, 739, 1807, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298204, 3801, 1086, 1658, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298243, 3596, 1228, 1341, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298282, 3562, 968, 1551, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298321, 3769, 572, 847, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298360, 4455, 69, 486, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298399, 5131, 224, -58, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298439, 5732, 935, -54, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298477, 4166, 7, -800, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298515, 2978, -948, -1303, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298553, 2598, -513, -1560, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298591, 2523, -57, -1560, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298629, 2844, -198, -799, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298667, 3273, 209, -343, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298705, 3784, -514, -76, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298743, 3994, -560, -307, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298781, 4296, -754, 521, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298820, 4073, -374, 829, 85, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298859, 4061, -469, 1016, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298898, 4548, -775, 815, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298937, 5162, -655, 591, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
298976, 5365, -517, 567, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299015, 5726, -396, 501, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299054, 6103, 193, 294, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299093, 6708, 932, -36, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299132, 7983, 1091, -260, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299171, 7727, 2033, -770, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299210, 7401, 3320, -1312, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299247, 6264, 2132, -1141, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299284, 4789, 1298, -827, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299321, 2972, 718, -196, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299358, 2329, 618, 373, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299395, 1634, -58, 956, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299432, 1053, 157, 1373, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299469, 970, 559, 1672, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299506, 904, 1167, 1699, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299543, 1107, 2195, 1398, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299580, 937, 3299, 930, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299617, 1721, 3827, 1609, 83, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299657, 921, 3387, 1647, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299697, 540, 3909, 1052, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299737, 223, 5673, 902, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299778, 604, 4987, 876, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299818, 387, 4277, 857, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299858, 435, 4020, 766, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299899, 357, 3594, 544, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299939, 199, 3428, 379, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
299979, 22, 3381, 278, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
300020, 244, 3951, 108, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
300056, 483, 4339, 201, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
300093, 171, 4588, 126, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
300129, 212, 4907, 83, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
300166, 280, 4467, 90, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
300203, 239, 4054, 0, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
300239, 112, 3853, -119, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
300276, 75, 3766, -143, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
300313, 55, 3986, -199, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
300349, 112, 4136, -162, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
300386, 150, 4223, -119, 81, faa21a57-c131-4555-8eca-ef60c7381978, , transisi, transisi_sujud_ke_bersedekap, , 
