233537, 2704, 2651, 1721, 93, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236401, 4108, 644, 64, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236438, 4129, 505, 130, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236475, 4164, 637, 234, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236512, 4207, 432, 402, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236549, 4221, 467, 559, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236586, 4331, 985, 370, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236623, 4502, 1026, 835, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236660, 5240, 956, 1855, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236697, 5175, 964, 2504, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236734, 4771, 248, 1731, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236771, 5675, 1869, -1157, 89, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236811, 5286, 1242, -561, 87, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236851, 4480, 182, -151, 87, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236891, 4154, 267, 44, 87, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236932, 4208, 904, -4, 87, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
236972, 4002, 1229, 833, 87, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237012, 3420, 1427, 1067, 87, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237053, 3045, 1624, 1348, 87, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237093, 2809, 1657, 1726, 87, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237133, 1077, 1683, 2127, 87, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237174, 787, -52, 5215, 87, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237213, -743, 1710, 1977, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237253, -1124, 3644, 4193, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237292, -661, 4096, 4594, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237332, -137, 3262, 2727, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237371, 661, 2235, 2118, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237411, 938, 2339, 2627, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237450, 1387, 3074, 3289, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237490, 1487, 2892, 2985, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237529, 1471, 2696, 2252, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237569, 1668, 3177, 2742, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237606, 1777, 2836, 2335, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237644, 2006, 2466, 2141, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237682, 2292, 2503, 2569, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237720, 2574, 2335, 2813, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237758, 2507, 2764, 3201, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237795, 1644, 3296, 3068, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237833, 1955, 2802, 3412, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237871, 1911, 2740, 2979, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237909, 1878, 3152, 2590, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237947, 1783, 3121, 2400, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
237985, 2236, 3465, 1864, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238023, 2257, 3042, 1266, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238062, 2897, 3473, 841, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238101, 2740, 3125, 1206, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238140, 2493, 2864, 835, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238179, 2957, 2677, 546, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238217, 2872, 2734, -79, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238256, 3557, 3793, -217, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238295, 2768, 2178, -557, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238334, 3463, 1913, -85, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238373, 3362, 2124, 344, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238408, 4118, 1672, 623, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238444, 4328, 1661, 1239, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238480, 4097, 2285, 955, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238515, 3860, 1523, 1201, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238551, 4004, 570, 676, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238587, 4348, 242, 391, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238623, 4480, 543, -96, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238658, 4652, 847, -632, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238694, 4428, 1598, -755, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238730, 4403, 2118, -415, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238766, 4870, 1882, 77, 82, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238804, 4568, 2548, 31, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238843, 4256, 2715, 21, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238881, 3830, 2900, -222, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238920, 2957, 2969, -188, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238958, 2079, 3272, -479, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
238997, 1025, 3019, -502, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239035, -30, 2967, -776, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239074, -358, 3070, -713, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239112, -957, 2837, -571, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239151, -992, 2439, -202, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239196, -1415, 2410, -180, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239241, -1607, 2655, -216, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239286, -1710, 2856, -382, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239331, -1724, 3258, -426, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239376, -1702, 3185, -320, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239421, -1747, 3629, -374, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239466, -1533, 3588, -507, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239511, -1537, 4664, -1193, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239556, -1418, 3769, -1140, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239601, -746, 3342, -744, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239632, -2432, 1967, -2234, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239664, -1791, 3986, -1203, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239696, -607, 4326, -1317, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239728, -1451, 4649, -1582, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239760, -791, 4108, -1524, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239791, -638, 4060, -1390, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239823, -1143, 3159, -1141, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239855, -496, 2706, -960, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239887, -688, 2639, -1005, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239919, -816, 3166, -928, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239951, -924, 3490, -1078, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
239992, -1166, 3757, -1295, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
240034, -1306, 4131, -1255, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
240076, -1190, 3792, -1340, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
240117, -1039, 3544, -1425, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
240159, -1068, 3462, -1579, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
240201, -1173, 4082, -1812, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
240242, -1332, 3578, -1603, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
240284, -1340, 3652, -1695, 81, 02d78fdb-338e-4942-a49a-54faf6a9dd71, , transisi, transisi_sujud_ke_bersedekap, , 
