67543, 2663, 2629, 1776, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72310, 3629, 1513, 3795, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72351, 2527, 3033, 3437, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72391, 2634, 3142, 2877, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72432, 3079, 2867, 2409, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72473, 3551, 2278, 1488, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72513, 3585, 2165, 1537, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72554, 3499, 2283, 1049, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72594, 3377, 2496, 766, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72635, 3445, 2046, 336, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72676, 3537, 2257, 284, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72713, 2890, 1795, -129, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72750, 3130, 1916, -346, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72787, 3719, 2377, -397, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72824, 3512, 2238, 589, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72861, 3326, 1584, -73, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72898, 3159, 1436, -87, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72935, 3859, 1376, 163, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
72972, 4130, 540, -330, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73009, 4339, 293, 17, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73046, 4198, 410, -147, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73083, 4106, 594, -545, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73128, 3807, 659, -418, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73174, 3733, 288, -271, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73219, 3747, 311, 171, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73265, 3875, 378, 410, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73310, 4501, 727, 493, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73356, 4986, 1202, -149, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73401, 5031, 1415, -535, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73447, 5330, 2046, -667, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73492, 4916, 2938, -284, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73538, 4525, 3001, 693, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73568, 3890, 3168, 639, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73599, 3080, 4049, 521, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73630, 2273, 3482, -16, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73661, 1449, 3575, -949, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73692, 731, 3086, -1040, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73723, 87, 2099, -334, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73754, -410, 1785, -134, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73785, -952, 1018, 253, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73816, -1174, 2670, -68, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73847, -1434, 2755, -40, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73878, -1383, 2706, 571, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73925, -1179, 3545, 88, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
73973, -1453, 4470, 68, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74020, -1393, 4080, 226, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74068, -1473, 3614, -580, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74115, -1773, 4527, -631, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74163, -2739, 5251, -1686, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74210, -1610, 2171, 281, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74258, -185, 7169, -2229, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74305, -78, 3848, -740, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74353, -1060, 3501, 452, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74386, -1046, 4571, -355, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74420, -1095, 4190, -252, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74453, -1039, 4339, -87, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74487, -681, 4068, -295, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74520, -726, 4528, -398, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74554, -765, 4236, -924, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74587, -502, 3949, -1260, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74621, -841, 2823, -920, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74654, -707, 2885, -105, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74688, -842, 3588, -341, 90, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74727, -1050, 4164, -921, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74767, -1638, 4215, -909, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74806, -1349, 4064, -866, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
74846, -1357, 3856, -770, 91, b9ff0f67-21ae-438e-8761-314cea936c34, , transisi, transisi_sujud_ke_bersedekap, , 
