216812, -974, 1616, -3755, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217415, -1362, 1337, -3566, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217450, -1405, 1355, -3739, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217485, -1324, 1264, -3673, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217521, -1355, 1293, -3648, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217556, -1373, 1330, -3675, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217592, -1365, 1214, -3668, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217638, -986, 1395, -3691, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217685, -1279, 1216, -3703, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217732, -1589, 1089, -3718, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217778, -955, 1336, -3830, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217825, -1159, 1330, -3779, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217872, -1100, 1277, -3678, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217918, -1087, 1261, -3690, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
217965, -1116, 1332, -3725, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218012, -1098, 1276, -3727, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218059, -1134, 1231, -3738, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218093, -1133, 1286, -3680, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218128, -1132, 1297, -3687, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218163, -1100, 1296, -3704, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218197, -1102, 1308, -3657, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218232, -1079, 1319, -3600, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218267, -1047, 1309, -3549, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218301, -1028, 1328, -3556, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218336, -964, 1333, -3385, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218371, -937, 1198, -3071, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218406, -770, 1275, -2875, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218442, -657, 1251, -2398, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218478, -236, 1185, -2240, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218515, 212, 1503, -2301, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218551, 604, 1435, -2591, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218588, 1480, 1720, -2725, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218624, 2103, 2097, -2392, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218661, 2633, 1955, -2128, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218697, 4117, 2344, -2003, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218734, 5395, 2400, -1798, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218770, 7020, 2473, -1531, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218807, 7435, 1539, -1606, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218846, 4883, 2007, -313, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218886, 3711, 1537, -529, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218925, 4040, 1626, -756, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
218965, 4356, 2161, -1091, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219005, 4162, 1834, -920, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219044, 3278, 1692, -526, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219084, 2999, 1532, -383, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219123, 3293, 1665, -738, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219163, 3962, 1787, -927, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219203, 4224, 1217, -1285, 100, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219239, 4336, 1227, -990, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219275, 5980, -1111, 3824, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219312, 4023, -697, 486, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219348, 3250, 691, -361, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219384, 3949, -149, -267, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219421, 4450, -757, -236, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219457, 4371, -187, -368, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219493, 4175, 181, -457, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219530, 3938, 565, -463, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219566, 3887, 811, -504, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219603, 4046, 925, -556, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219643, 4152, 647, -344, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219683, 4139, 274, -50, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
219724, 4107, 122, -85, 101, 328baa3b-3234-4de5-8319-f73a368b7fa1, , transisi, transisi_qunut_ke_berdiri, , 
