29405, -1785, 1923, -3158, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30547, 3691, 1080, -1519, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30582, 5253, 6601, 2412, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30617, 3938, -3882, 2346, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30653, 2753, -266, -1991, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30688, 3968, -194, -1045, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30723, 4649, -1628, 3, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30758, 4174, -1014, -63, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30793, 4043, -51, -618, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30829, 4008, 750, -671, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30866, 4035, 770, -294, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30903, 4130, 812, -583, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30941, 4028, 743, -553, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
30978, 4108, 296, -196, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
31016, 4098, 100, -298, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
31053, 4139, -29, -488, 58, a46a4e88-a104-4591-b2d2-1b166f2ffa37, , transisi, transisi_qunut_ke_berdiri, , 
