142248, 2182, 2339, 2539, 97, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144070, 4109, 603, -21, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144110, 4176, 555, 124, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144150, 4158, 501, 123, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144190, 4184, 513, 373, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144230, 4417, 631, 379, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144271, 4688, 596, 558, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144311, 5378, 503, 1324, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144352, 6059, 744, 2926, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144392, 6278, -198, 3301, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144433, 5412, 3609, -1719, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144473, 6042, 821, -1730, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144514, 4232, 425, -1205, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144554, 3772, 321, -751, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144595, 3635, 1540, -116, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144635, 3578, 2364, 733, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144676, 3272, 1686, 1775, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144713, 2773, 1454, 1971, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144750, 2413, 1468, 1926, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144787, 1533, 4148, 6042, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144824, 604, 1941, 4201, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144861, 250, 1861, 2222, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144898, 732, 2124, 2554, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144935, 1186, 2563, 3310, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
144972, 905, 2995, 2296, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145009, 1530, 5332, 2728, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145046, 1874, 3623, 1623, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145084, 1829, 3262, 351, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145124, 2042, 1574, 488, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145164, 2794, 3077, -677, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145204, 2434, 2032, -141, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145244, 3334, 3811, -256, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145284, 3210, 2237, 246, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145324, 3233, 4126, -153, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145364, 2940, 4095, -109, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145404, 3223, 5773, 1035, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145444, 4187, 1975, 103, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145485, 4425, 2525, 33, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145520, 3395, 2891, -323, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145556, 3226, 3335, -973, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145591, 3360, 2457, -752, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145627, 3316, 2608, -1204, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145662, 3456, 2349, -1173, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145698, 3267, 2451, -1195, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145733, 3007, 2517, -1077, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145769, 2871, 1614, -1240, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145804, 2929, 2049, -1949, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145840, 3447, 2215, -1924, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145876, 3288, 2114, -1911, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145916, 2185, 2022, -989, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145957, 1930, 1897, -291, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
145998, 2614, 1808, 171, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146039, 3285, 1854, 280, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146080, 4087, 627, 67, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146121, 4221, 989, 21, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146162, 4397, 141, -216, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146203, 4266, 2009, 135, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146244, 4848, 3932, 918, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146285, 5601, 3309, 444, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146323, 5540, 2620, 638, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146362, 4858, 4143, 452, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146400, 4534, 3856, 1167, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146439, 3547, 3895, 1269, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146477, 2592, 3506, 1457, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146516, 1312, 3354, 1499, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146554, 119, 2796, 2185, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146593, -819, 2305, 1796, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146631, -1422, 1838, 1915, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146670, -1977, 789, 1429, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146711, -2277, -104, 1085, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146752, -2289, -746, 380, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146793, -1518, -1437, 113, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146834, -910, -1934, -487, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146875, -1211, -3537, -1449, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146916, -1120, -3396, -1415, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146957, -1155, -2915, -1255, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
146998, -1358, -2523, -875, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147039, -1754, -1654, -552, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147080, -2113, -1432, -42, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147122, -2639, -710, 414, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147156, -3169, -535, 894, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147191, -3611, 978, 1619, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147225, -3943, 1640, 3127, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147260, -4141, 1459, 3413, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147295, -3152, 1247, 2529, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147329, -1710, 1887, 1916, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147364, -1407, 7071, 2125, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147398, -2459, 4399, 1747, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147433, -2237, 6345, -217, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147468, -1874, 3925, 774, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147508, -1372, 2566, 1403, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147548, -1088, 5609, 140, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147588, -907, 3950, 1084, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147628, -921, 4196, 383, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147669, -869, 4374, 313, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147709, -249, 3339, 388, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147749, -722, 3960, -21, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147789, -777, 4414, 126, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147829, -951, 3502, -154, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147870, -795, 2771, -93, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147906, -680, 3051, -250, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147943, -647, 3697, -327, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
147980, -848, 4045, -272, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
148017, -1255, 4442, -296, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
148054, -1208, 4157, -604, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
148091, -1242, 4130, -720, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
148128, -1127, 4038, -500, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
148165, -1014, 4035, -706, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
148202, -1026, 3817, -537, 96, c6cfd3f0-8d7b-4b96-a9ce-e09990f612ba, , transisi, transisi_duduk_ke_bersedekap, , 
