138952, 2352, 1934, 2842, 68, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140541, 3630, 469, 344, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140578, 3757, 484, 408, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140616, 3819, 505, 459, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140653, 3879, 692, 423, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140690, 3821, 719, 415, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140727, 3925, 732, 553, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140764, 3951, 634, 591, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140802, 4056, 860, 915, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140840, 3958, 804, 1138, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140878, 3953, 1026, 1147, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140917, 3872, 1169, 1104, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140955, 3906, 1048, 1034, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
140994, 4032, 1128, 1114, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141032, 4005, 1342, 1222, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141070, 3871, 1312, 1109, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141109, 3783, 1506, 1417, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141147, 3873, 1559, 1572, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141186, 3521, 1816, 1688, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141226, 2830, 1949, 2052, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141267, 2355, 2349, 2704, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141307, 2831, 3320, 2851, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141348, 4246, 5901, 5126, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141389, 2438, 3245, 3008, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141429, 1477, 2124, 2386, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141470, 1939, 2797, 1547, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141510, 2168, 2416, 1296, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141551, 2985, 2484, 3397, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141592, 2206, 1058, 2805, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141625, 2091, 2009, 1999, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141658, 2340, 1952, 2434, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141692, 2360, 2151, 1832, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141725, 2720, 2624, 1941, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141759, 3143, 2953, 1697, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141792, 3294, 1658, 1458, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141826, 3476, 2285, 1372, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141859, 3533, 2287, 1428, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141893, 3821, 1990, 1245, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141926, 3774, 1429, 1176, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
141960, 3872, 1337, 1072, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142002, 3705, 1389, 752, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142045, 3588, 1561, 561, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142087, 3407, 1389, 402, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142130, 3539, 1558, 545, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142173, 3713, 1037, 393, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142215, 3654, 1174, 345, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142258, 3758, 1359, 408, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142300, 3632, 916, 457, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142343, 3598, 1183, 312, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142386, 3676, 1261, 348, 69, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142424, 3471, 777, 324, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142462, 3438, 1470, 766, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142500, 3337, 1487, 707, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142538, 3266, 1452, 882, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142576, 3217, 1228, 1073, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142615, 3156, 2441, 822, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142653, 3311, 2262, 820, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142691, 3655, 2762, 1033, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142729, 4046, 2795, 1350, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142767, 4431, 3379, 1919, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142806, 4399, 3271, 1829, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142844, 4111, 3979, 2361, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142882, 3848, 3771, 2415, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142920, 3364, 4193, 2402, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142958, 2754, 3806, 2745, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
142996, 2056, 3598, 2966, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143034, 1400, 2966, 2641, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143072, 572, 3105, 2400, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143110, -257, 2779, 1878, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143148, -943, 2159, 1717, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143186, -1411, 1102, 1388, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143226, -2051, 789, 877, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143266, -2605, -53, 743, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143306, -2850, -319, 794, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143346, -3095, -825, 634, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143386, -3387, -920, 649, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143426, -3475, -1113, 800, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143466, -3568, -760, 1042, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143506, -3593, -776, 1264, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143546, -3699, -790, 1024, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143586, -3755, -698, 1303, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143622, -3831, -793, 1159, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143659, -3842, -658, 1213, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143696, -3738, -797, 1276, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143733, -3585, -1004, 854, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143770, -3338, -1135, 573, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143807, -3183, -1571, -50, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143844, -2981, -1178, -253, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143881, -2499, -118, 1107, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143918, -2522, 903, 1737, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143955, -2883, 903, 2197, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
143992, -2920, 2949, 2192, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144032, -2966, 1638, 1857, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144073, -1382, 3144, 2153, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144113, -95, 2879, 3194, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144154, 136, 3396, 3524, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144194, 152, 4009, 4087, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144235, 300, 3441, 4300, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144275, 342, 3049, 4130, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144316, 795, 3344, 4162, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144356, 508, 3090, 3417, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144397, 395, 3838, 2421, 70, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144434, 220, 3852, 1274, 72, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144472, 252, 3897, 1889, 72, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144510, -131, 4177, 2120, 72, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144547, -129, 3988, 1602, 72, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144585, 14, 3701, 1264, 72, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144623, 23, 3789, 1223, 72, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144661, 8, 3934, 1073, 72, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144698, 79, 3937, 1009, 72, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144736, -10, 3969, 958, 72, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144774, -4, 4118, 898, 72, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144812, -118, 4331, 697, 72, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
144848, -48, 4083, 707, 72, 9f7529b0-0814-4161-b6c6-dfcbb4eeeb1c, , transisi, transisi_duduk_ke_bersedekap, , 
