206646, 3214, 1064, 2415, 99, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207909, 3600, 597, 2061, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207950, 3637, 635, 1925, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
207993, 3595, 727, 1945, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208036, 3650, 738, 1844, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208080, 3735, 645, 1703, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208123, 3272, 790, 2042, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208167, 3803, 697, 1620, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208210, 3774, 650, 1593, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208253, 3784, 572, 1546, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208297, 3827, 667, 1533, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208340, 3715, 781, 1556, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208384, 3782, 708, 1570, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208415, 3791, 742, 1557, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208446, 3827, 778, 1554, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208477, 3719, 728, 1615, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208508, 3733, 758, 1651, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208539, 3770, 756, 1642, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208570, 3735, 803, 1676, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208601, 3731, 805, 1684, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208632, 3701, 762, 1694, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208663, 3730, 779, 1699, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208694, 3689, 766, 1778, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208726, 3702, 752, 1763, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208765, 3627, 755, 1855, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208805, 3623, 822, 1958, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208845, 3946, 966, 1957, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208885, 5125, 913, 3168, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208925, 5323, 13, 3673, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
208965, 4411, 626, 1018, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209005, 5878, 359, 842, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209045, 4470, -1306, -1493, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209085, 4069, -1040, -1409, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209125, 3384, -181, -1894, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209164, 4087, -643, -1838, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209203, 3497, -280, -487, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209242, 3677, 109, 225, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209282, 4618, 1377, 4627, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209321, 2015, 304, 1482, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209360, 1519, 1154, -298, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209400, 1714, 351, -297, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209439, 2185, 896, -418, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209478, 2915, 3128, -1838, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209518, 2755, 4297, -2432, 100, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209553, 2604, 5271, -1439, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209588, 2309, 3875, -747, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209624, 4042, 2098, 1404, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209659, 4088, 961, 2857, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209694, 5146, 965, 2493, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209730, 3341, 159, 1560, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209765, 3939, 1256, -292, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209800, 4227, 838, -332, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209836, 4592, 985, 363, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209871, 3783, -751, -710, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209907, 5855, 1253, 670, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209950, 4062, 78, 210, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
209993, 4220, -432, 161, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210036, 4595, 132, 361, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210079, 4987, 1481, 1262, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210122, 5586, 1291, 3045, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210165, 6687, -1473, 2165, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210208, 5000, -363, 925, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210251, 3682, -971, -2722, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210294, 6820, 1349, -3388, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210338, 4950, 877, -2708, 101, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210377, 3824, -903, -3244, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210417, 3421, -619, -3211, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210457, 3587, 713, -2928, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210497, 4209, 669, -2026, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210537, 4029, 1631, -813, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210577, 4514, 310, -906, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210617, 4075, -184, -912, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210657, 4411, -392, -887, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210697, 5437, 212, -1066, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210737, 4233, 457, -739, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210773, 4018, 1492, -1532, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210810, 3479, 129, -1354, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210847, 3293, -500, -518, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210884, 3051, 863, -211, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210921, 3001, 61, 319, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210958, 3064, 132, -536, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
210995, 3572, 554, -878, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211032, 3288, 815, -684, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211069, 3226, 900, -826, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211106, 3316, 858, -725, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211143, 3506, 947, -727, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211182, 3879, 755, -826, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211221, 3414, 1157, -876, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211260, 3207, 1734, -862, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211299, 3679, 1961, -354, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211338, 4196, 2967, -195, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211377, 4707, 3426, 528, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211416, 5039, 3329, 1061, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211455, 4697, 3728, 1084, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211494, 4859, 4334, 1435, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211534, 4802, 3710, 1886, 102, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211571, 4124, 4878, 1555, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211609, 3639, 3859, 2258, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211647, 3137, 3451, 2589, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211684, 1735, 2054, 1865, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211722, 225, 481, 691, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211760, -1143, -858, 19, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211798, -1728, -991, -206, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211835, -2444, -1007, -207, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211873, -2508, -1069, -134, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211911, -2346, -1098, -354, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211949, -1829, -604, -247, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
211986, -1263, -374, -200, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212024, 65, -237, 309, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212061, 2777, 194, 535, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212099, 5995, 7619, 1549, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212137, 6793, 9076, 3518, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212174, 5472, 6190, 4780, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212212, 3943, 3893, 4790, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212249, 2936, 2945, 3762, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212287, 3115, 2529, 3453, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212325, 2955, 2013, 3501, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212362, 2240, 2868, 3047, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212399, 2082, 2866, 2878, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212436, 1520, 2583, 2259, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212473, 1181, 2230, 2138, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212510, 954, 2262, 1893, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212548, 1051, 1979, 1817, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212585, 1052, 3152, -75, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212622, 24, 2227, 1570, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212659, 516, 1963, 1556, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212696, -86, 3217, 611, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212734, 88, 3996, 1143, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212774, -84, 4630, 682, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212814, 180, 5801, -243, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212854, 212, 5267, -496, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212894, 102, 4615, -418, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212934, 73, 3899, -163, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
212974, -4, 3803, -238, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
213014, -19, 3975, -269, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
213054, -57, 3972, -254, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
213094, -88, 3930, -241, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
213135, -82, 3964, -283, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
213175, -37, 4077, -419, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
213216, -6, 4252, -488, 103, a8457988-4563-4842-9978-e6103e36b21d, , transisi, transisi_duduk_ke_bersedekap, , 
