220708, 1158, 1989, 3585, 90, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222916, 1236, -784, -2213, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222956, 5540, -1781, 4043, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
222997, 1167, -156, 569, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223037, 2457, 1319, 5854, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223078, 1812, 435, 3335, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223118, 1584, 724, 2664, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223159, 1306, 1036, 2705, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223199, 1938, 1381, 2631, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223240, 4159, 3040, 4676, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223275, 3696, 1049, 4679, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223311, 3531, -1138, 5332, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223347, 2487, 1035, 2684, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223383, 2640, 1297, 2758, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223419, 2645, 573, 3114, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223454, 3066, 1142, 2568, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223490, 3440, 1137, 1855, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223526, 3610, 1420, 1848, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223562, 3422, 1290, 1517, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223598, 3429, 1067, 1366, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223634, 3571, 1041, 1327, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223674, 3724, 956, 653, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223715, 3658, 1109, 667, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223755, 3475, 751, 271, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223796, 3338, 267, -44, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223836, 4121, 586, -566, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223877, 4674, 563, -483, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223917, 3955, 120, -636, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223958, 3622, -253, -758, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
223998, 3513, -234, -1665, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224039, 3477, 20, -1591, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224080, 3360, -369, -1317, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224122, 3309, -279, -804, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224163, 3211, 126, -904, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224205, 3453, 244, -814, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224247, 3997, 342, -672, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224288, 4357, 62, -742, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224330, 4231, 31, -464, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224371, 3938, -1306, 887, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224413, 3892, -1243, 978, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224455, 4579, -1599, 908, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224489, 5229, -1959, 1121, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224523, 5756, -1166, 1748, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224557, 6650, 116, 1495, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224591, 7125, 314, 321, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224625, 7547, 1504, -129, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224659, 7687, 3205, -216, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224693, 7332, 3530, -698, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224727, 5569, 2534, -1846, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224761, 4418, 1860, -1109, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224795, 3032, 873, -328, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224829, 2243, 132, 41, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224869, 1624, 215, 540, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224910, 1443, 41, 1021, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224950, 1555, 1094, 1411, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
224991, 1177, 1413, 1940, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225031, 1004, 2637, 1586, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225072, 1016, 3637, 1720, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225112, 1130, 2395, 1782, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225153, 1190, 3460, 2045, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225193, 536, 4372, 821, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225234, 567, 4491, 378, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225269, 672, 3423, 735, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225304, 594, 4175, 755, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225340, 520, 4210, 570, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225375, 317, 4712, 78, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225411, 364, 4447, 321, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225446, 266, 4225, 145, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225482, 284, 3859, 186, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225517, 318, 3554, 147, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225553, 146, 3457, -232, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225588, 352, 3599, -519, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225624, 181, 4516, -573, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225665, 271, 5085, -581, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225706, 99, 4735, -510, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225747, 113, 4078, -406, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225788, 201, 3602, -348, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225830, 122, 3536, -621, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225871, 137, 3695, -782, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225912, 274, 4145, -762, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225953, 260, 4559, -1022, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
225994, 157, 4373, -957, 91, e856a635-f7c3-469d-9de5-cfd6465f6726, , transisi, transisi_duduk_ke_bersedekap, , 
