180562, 1885, 2718, 2445, 90, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181315, 4355, 1551, 3756, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181354, 4393, 1869, 3016, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181393, 3385, 1607, 2874, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181432, 3785, 1327, 1630, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181471, 4375, 1288, 2053, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181510, 4084, 778, 834, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181550, 4404, 367, 796, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181590, 7071, 1724, 763, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181630, 2746, 1069, 1564, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181671, 3863, 1274, 1236, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181711, 3906, 948, 1103, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181752, 3982, 1363, 784, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181792, 3935, 1060, 792, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181832, 4023, 989, 586, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181873, 4045, 1027, 448, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181913, 4055, 865, 500, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181954, 4008, 1127, 325, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
181991, 4050, 989, 291, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182028, 4010, 1122, 143, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182065, 3999, 1048, 147, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182102, 4044, 1021, 32, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182139, 4052, 1021, -32, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182177, 4067, 981, 3, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182214, 4088, 1026, -56, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182251, 4061, 790, 19, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182288, 4098, 749, 97, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182325, 4122, 758, 219, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182363, 4098, 758, 219, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182406, 4088, 745, 429, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182450, 4091, 891, 544, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182493, 4089, 934, 560, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182537, 4356, 993, 1009, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182581, 4455, 1649, 1045, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182624, 5368, 1028, 1586, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182668, 6279, 743, 2330, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182711, 6149, 1180, -954, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182755, 4679, 956, -1921, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182799, 3936, 665, 213, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182831, 3607, 826, 292, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182863, 3683, 800, 543, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182895, 3634, 883, 739, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182928, 3508, 1048, 374, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182960, 3343, 791, 758, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
182992, 3107, 1396, 994, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183024, 1406, 9960, 10050, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183057, 1711, 1040, 456, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183089, 928, 1763, 657, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183121, 257, 2412, 1611, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183154, 666, 2771, 4033, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183196, 245, 2937, 3782, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183238, 101, 3669, 3621, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183280, 572, 4061, 2715, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183322, 995, 2977, 2116, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183364, 1205, 2211, 2611, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183406, 1298, 2768, 2677, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183448, 1340, 2833, 2862, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183490, 1135, 3141, 2994, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183532, 999, 2988, 2737, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183575, 1101, 3011, 2451, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183612, 1438, 3326, 2359, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183650, 1572, 3177, 2193, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183688, 1915, 3487, 2393, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183726, 1619, 3570, 1818, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183764, 1333, 2747, 1252, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183801, 304, 3864, 2843, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183839, -1127, 4361, 2357, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183877, -487, 4817, 1690, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183915, 1078, 3717, 2802, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183953, 2135, 4342, 1580, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
183991, 2754, 3558, 914, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184029, 2515, 3724, 105, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184068, 2292, 3945, 695, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184106, 2187, 3755, -142, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184145, 2340, 2983, 109, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184183, 2369, 3149, -112, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184222, 2471, 2681, -198, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184260, 2757, 2742, -489, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184299, 3433, 2135, -527, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184337, 4201, 3098, -952, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184376, 4506, 2549, -807, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184418, 4062, 1269, 140, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184461, 3648, 1301, -700, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184504, 3708, 926, -99, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184546, 3338, 908, 894, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184589, 3467, 1150, 1745, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184632, 3792, -207, 1564, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184674, 3810, 45, 706, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184717, 3987, 519, 592, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184760, 4755, 916, -151, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184803, 4757, 1482, -405, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184834, 4483, 1452, -209, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184865, 4331, 1612, 64, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184897, 4659, 2244, 91, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184928, 4957, 2530, 101, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184959, 5075, 2691, 163, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
184991, 4817, 2851, 50, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185022, 3857, 3429, 25, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185053, 2862, 4183, 169, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185085, 2013, 3848, 578, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185116, 1034, 4310, 828, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185148, 364, 3803, 1014, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185188, -507, 3861, 1340, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185229, -1032, 2946, 1383, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185269, -1384, 1643, 1319, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185310, -2196, 1146, 1235, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185351, -2768, 669, 1142, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185391, -3132, 222, 975, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185432, -3145, -80, 982, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185472, -3325, -463, 805, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185513, -2861, -1176, 738, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185554, -2483, -1897, 469, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185593, -2107, -2641, 45, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185633, -1837, -2932, -625, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185673, -1719, -3323, -495, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185712, -1352, -3176, -318, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185752, -1430, -2359, -307, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185792, -1671, -1242, -124, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185831, -3362, 255, -108, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185871, -3693, 978, 1158, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185911, -3143, -43, 2016, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185951, -3647, 3879, 2168, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
185989, -4385, 3318, 2667, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186027, -3764, 1781, 2332, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186065, -3218, 4151, 2642, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186103, -4078, 5038, 994, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186141, -2547, 1755, 1587, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186179, -2217, 1717, 1216, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186217, -1406, 3963, 971, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186255, -2338, 3180, 1196, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186293, -1984, 4041, 491, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186331, -2045, 4296, 355, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186369, -2233, 4125, 327, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186412, -1619, 3652, 336, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186455, -1987, 3394, 241, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186498, -1568, 3763, -168, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186541, -1814, 4039, -39, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186584, -1795, 3680, -263, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186627, -1381, 3755, -567, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186670, -1173, 3210, -392, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186713, -1629, 3262, -944, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186756, -1204, 3217, -541, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186800, -1364, 3612, -627, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186835, -1685, 3991, -1186, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186870, -1778, 3767, -1629, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186905, -1884, 3959, -1813, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186940, -1790, 3677, -1894, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
186975, -1511, 3229, -1715, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
187010, -1318, 3407, -1868, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
187045, -1470, 3462, -1818, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
187080, -1317, 3408, -1910, 91, b4c33bb3-2204-4594-b96b-e899736d3f82, , transisi, transisi_duduk_ke_bersedekap, , 
