410087, 832, 2342, 3274, 65, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415446, -383, 4323, 917, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415485, -489, 5032, 81, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415524, -671, 4211, 182, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415563, -750, 3842, 160, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415602, -382, 3725, -470, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415641, -630, 3265, -666, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415680, -500, 2839, -371, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415719, -658, 3352, 35, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415762, -442, 3946, -574, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415805, -302, 3872, -516, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415849, -1024, 4180, -1093, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415892, -980, 4706, -1524, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415936, -860, 4067, -1143, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
415979, -804, 3928, -1151, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
416022, -869, 3805, -1036, 64, 818453f5-143b-45d8-b26c-176fb79cd39a, , transisi, transisi_duduk_ke_bersedekap, , 
