300728, 2747, 1930, 2442, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301575, 2964, 1757, 2344, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301614, 2931, 1668, 2402, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301656, 2940, 1731, 2361, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301699, 2866, 1619, 2456, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301741, 2915, 1594, 2408, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301784, 2952, 1633, 2452, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301827, 3007, 1547, 2406, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301869, 3067, 1596, 2394, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301912, 3018, 1438, 2384, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301954, 2991, 1510, 2427, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
301997, 3019, 1458, 2477, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302040, 3058, 1399, 2394, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302074, 3026, 1317, 2622, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302108, 2888, 1349, 2521, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302142, 2914, 1360, 2604, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302176, 2866, 1388, 2577, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302210, 2915, 1496, 2649, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302244, 2685, 1483, 3023, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302278, 2014, 1167, 3635, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302312, 981, 1202, 1816, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302346, 2197, 1547, 1642, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302380, 2202, 1327, 3127, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302415, 3262, 1025, 3094, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302456, 3501, 1351, 2256, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302497, 3856, 866, 2254, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302539, 3769, 870, 1838, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302580, 3955, 487, 1443, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302622, 4066, 621, 1059, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302663, 4209, 348, 640, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302704, 4650, 740, -1791, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302746, 5518, -1326, 2290, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302787, 4874, -124, 3248, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302829, 4740, 395, 882, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302865, 3520, 958, 1579, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302902, 3816, 1494, 1112, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302939, 4022, 364, 1250, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
302976, 4035, 615, 1027, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303013, 4057, 558, 918, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303049, 4087, 677, 709, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303086, 3957, 530, 724, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303123, 4105, 253, 506, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303160, 4068, 509, 572, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303197, 4117, 462, 573, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303234, 4087, 588, 300, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303277, 4064, 342, 290, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303321, 4167, 373, 135, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303364, 4144, 289, 86, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303408, 4160, 334, 200, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303452, 4162, 382, 71, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303495, 4134, 146, 117, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303539, 4147, 553, 72, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303582, 4087, 258, 96, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303626, 4165, 312, 176, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303670, 4117, 423, 120, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303709, 4253, 13, 264, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303749, 4178, 567, 315, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303789, 4333, 659, 326, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303829, 4546, 651, 461, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303869, 5035, 612, 792, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303908, 5125, 550, 783, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303948, 4562, 246, 1229, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
303988, 4604, 413, 665, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304028, 4809, 308, -39, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304068, 4458, 381, 318, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304104, 4216, -110, -312, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304140, 4123, 69, -622, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304176, 3757, -136, 166, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304212, 4173, 221, -233, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304248, 4152, -71, 122, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304284, 4365, 490, -317, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304320, 4153, 611, 54, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304356, 3980, 767, 302, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304392, 3430, -8, 615, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304428, 3477, 1902, 1037, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304465, 3187, 1527, 1597, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304500, 3046, 2438, 2167, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304536, 3053, 2112, 2429, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304572, 2735, 1834, 3252, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304608, 2181, 1685, 2465, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304644, 2194, 1893, 2467, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304680, 2215, 1614, 2527, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304716, 2998, 2635, 4282, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304752, 2570, 2564, 4289, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304788, 1997, 1684, 2540, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304824, 2123, 1305, 2107, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304861, 2282, 1498, 2513, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304898, 2625, 1951, 3471, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304936, 2112, 2384, 3805, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
304973, 1726, 2452, 3989, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305010, 1941, 2363, 3763, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305048, 2140, 2108, 3234, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305085, 2106, 1487, 2160, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305122, 3232, 2095, 2898, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305160, 2945, 1831, 2430, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305197, 2539, 1476, 2338, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305235, 3716, 1486, 2835, 74, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305273, 3258, 1635, 1731, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305312, 3427, 1366, 887, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305350, 4186, 2956, 1276, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305389, 4202, 2964, 1277, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305427, 3683, 1564, 881, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305466, 3725, 1192, 533, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305504, 3808, 1704, 699, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305543, 3867, 1480, 659, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305581, 4144, 823, 693, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305620, 3942, 716, 680, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305661, 3988, 243, 712, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305703, 3831, 574, 617, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305745, 3628, 254, 704, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305787, 3677, 427, 604, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305829, 3870, 780, 864, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305871, 4064, 570, 782, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305913, 4412, 918, 904, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305955, 4734, 1164, 399, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
305997, 4787, 1056, 211, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306039, 4935, 1697, 297, 75, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306078, 4919, 2253, 878, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306118, 4669, 2329, 1211, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306157, 4059, 2647, 1113, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306197, 3790, 2728, 947, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306237, 3675, 3637, 1296, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306276, 2642, 3317, 1487, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306316, 1869, 3100, 1938, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306356, 998, 3200, 1822, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306395, 418, 3047, 2070, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306435, -294, 2542, 1932, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306475, -884, 2614, 2122, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306509, -1368, 2277, 1875, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306543, -1961, 1893, 1728, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306577, -2556, 1533, 1375, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306612, -2742, 1503, 1410, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306646, -3108, 629, 1177, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306680, -3569, 309, 1058, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306715, -3047, 95, 1187, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306749, -3128, -512, 918, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306783, -2521, -1085, 39, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306818, -2729, -1927, -396, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306857, -2637, -2842, -655, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306897, -2693, -2661, -629, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306936, -2667, -2436, -308, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
306976, -2931, -1845, -199, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307016, -2533, -1288, 313, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307055, -2563, -841, 483, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307095, -2814, -456, 650, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307135, -2575, 808, 1268, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307174, -3089, 1341, 1674, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307214, -2774, 2703, 2304, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307254, -3518, 2338, 2580, 78, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307290, -1922, 2454, 1339, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307326, -471, 5750, 2291, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307362, -1623, 3765, 2684, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307398, -1198, 3879, 2433, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307435, -1037, 5996, 2018, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307471, -825, 4988, 1818, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307507, -678, 4903, 1172, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307543, -575, 4457, 1049, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307579, -554, 3525, 1065, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307616, -69, 4033, 979, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307657, -285, 4453, 1116, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307699, -79, 4113, 948, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307741, 130, 4108, 927, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307783, -155, 4383, 946, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307825, 122, 4187, 1073, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307866, -182, 4165, 1071, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307908, -344, 3938, 533, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307950, -262, 4369, -54, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
307992, -475, 3877, 62, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308034, -458, 3905, 144, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308069, -667, 3912, -88, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308104, -646, 3590, 19, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308140, -570, 3629, -231, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308175, -567, 3918, -428, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308211, -636, 3866, -215, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308246, -612, 3945, -289, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308282, -696, 4222, -393, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308317, -700, 4263, -375, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308353, -585, 3844, -370, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308388, -535, 4068, -527, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308424, -583, 4027, -611, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
308463, -509, 4077, -576, 80, cc895945-68de-4024-9f58-acd67cb01faa, , transisi, transisi_duduk_ke_bersedekap, , 
