10048, -1028, 3000, -2498, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12028, 4028, -1173, -1295, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12058, 3626, -1430, -1556, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12088, 3491, -1462, -1832, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12118, 3604, -1486, -2034, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12149, 3687, -1635, -1901, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12194, 3457, -1337, -2302, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12240, 3455, -1986, -2110, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12286, 3394, -1184, -2234, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12332, 3356, -1541, -2056, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12378, 3416, -695, -2462, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12423, 3359, -1117, -2242, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12469, 3237, -1645, -2292, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12515, 3269, -207, -2451, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12561, 3212, -961, -2498, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12607, 2793, -411, -2613, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12640, 3027, -164, -2814, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12673, 3034, -314, -2780, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12707, 2923, -267, -2711, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12740, 3191, -308, -2646, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12774, 3076, -713, -2479, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12807, 2933, -528, -2730, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12840, 2849, -495, -2412, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12874, 2985, 285, -2896, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12907, 2901, 754, -3077, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12941, 2915, 462, -2844, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
12983, 2848, 1035, -3162, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13025, 3046, 704, -3118, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13068, 2582, 242, -2760, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13110, 2467, 642, -2717, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13152, 2602, 1580, -3464, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13195, 3172, 918, -3610, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13237, 3083, -203, -3339, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13279, 2743, 1012, -3282, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13322, 2696, 891, -3253, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13364, 2807, 386, -2963, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13407, 2386, 438, -3135, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13440, 2391, 416, -3219, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13474, 2567, 108, -3020, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13507, 2477, 250, -3050, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
13541, 2541, 267, -3211, , aa6ac58d-d971-42cd-8e5c-5f097760be82, , transisi, transisi_bersedekap_ke_ruku, , 
