86201, -1035, 3853, -1963, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87056, -980, -553, 362, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87102, -232, -2011, -588, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87147, -72, -3563, -976, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87193, 52, -3872, -848, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87239, 385, -3282, -423, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87285, 419, -2123, -339, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87331, 735, -1116, -147, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87366, 1011, 33, 188, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87401, 2002, 438, 197, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87437, 3593, 3946, 338, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87472, 3861, 4503, 1547, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87508, 7189, 6426, 1142, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87543, 11739, 8728, 2422, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87578, 10183, 6689, 1824, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87614, 6395, 4532, 1237, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87649, -975, 3442, 10220, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87685, 2522, 4863, -1044, 74, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87720, -1000, 4144, -1651, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87755, 1129, 2094, -1053, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87791, 1903, 912, -1178, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87826, 3520, 552, -1504, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87861, 2790, 39, -1814, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87897, 4080, 31, -1231, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87932, 4136, 197, -830, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
87967, 5356, -611, 22, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88003, 4921, -442, -103, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88038, 4152, -321, -70, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88074, 4306, -1297, -643, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88115, 4048, -433, -1141, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88157, 4129, -295, -1303, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88199, 4169, -354, -1481, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88241, 4029, -381, -1624, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88283, 3959, -69, -1386, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88324, 4031, -968, -1433, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88366, 4050, -467, -1561, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88408, 4217, -1024, -1711, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88450, 4106, -647, -1356, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88492, 3589, -295, -1455, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88526, 3829, -417, -1971, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88560, 4487, -936, -2325, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88594, 4317, -654, -2173, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88628, 3967, -286, -1672, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88662, 3188, -594, -1567, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88697, 3190, -95, -1962, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88731, 3148, -394, -2354, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88765, 3725, -359, -2473, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88799, 4022, -704, -2509, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88833, 3629, -790, -2304, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88868, 3014, -407, -2394, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88909, 3480, -736, -2475, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
88951, 3499, -757, -2305, 75, 8cedbe16-a904-4a88-80c0-2084019f6c61, , transisi, transisi_bersedekap_ke_ruku, , 
