95817, -794, 3293, -1840, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97380, 3393, -168, -1541, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97417, 3772, -796, -2052, 64, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97454, 3834, -766, -2228, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97491, 4660, -1605, -3321, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97528, 5432, -2713, -1282, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97565, 4312, -163, -693, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97602, 4784, -2079, -2091, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97640, 3581, 44, -2551, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97677, 3347, 1019, -1898, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97714, 3433, -33, -2361, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97751, 3462, 426, -2249, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97788, 3901, 1163, -2642, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97826, 4787, 935, -3321, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97866, 4477, 403, -2949, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97907, 3263, 881, -2296, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97948, 2946, 1841, -2142, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
97989, 2920, 1311, -2130, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
98030, 3246, 1001, -2414, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
98071, 3073, 799, -2399, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
98112, 2790, 202, -2464, 66, 20e57951-85c2-473b-99f2-d9fba7d5d88b, , transisi, transisi_bersedekap_ke_ruku, , 
