70413, -1028, 3648, -1523, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71283, -2474, 1018, 3415, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71320, -2496, 765, 2413, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71356, -2505, -175, 1293, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71393, -2811, -1352, 402, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71428, -2950, -481, 843, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71463, -3409, -101, 1602, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71498, -3775, 468, 1948, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71533, -3610, 179, 2147, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71568, -3074, -468, 1616, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71603, -2812, -648, 1260, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71638, -2596, -194, 1533, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71673, -2194, 584, 1902, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71708, -1320, 560, 2312, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71743, -1107, 2574, 2388, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71783, 55, 899, 2285, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71824, 1065, 2538, 2417, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71864, 1585, 2029, 1688, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71905, 3842, 2121, 2152, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71945, 3630, 2782, 1829, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
71986, 5541, 1466, 1923, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72026, 6894, 3463, 1490, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72067, 7051, 1291, 1199, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72107, 6281, 3456, -50, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72148, 4737, 3049, -819, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72186, 4159, 3112, -1104, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72225, 4332, 3324, -1051, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72264, 3219, 2535, -891, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72302, 3131, 2457, -865, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72341, 2925, 2058, -1050, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72380, 3248, 2222, -1216, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72419, 3391, 1767, -885, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72457, 3572, 2330, -933, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72496, 3749, -319, -427, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72535, 4013, -1482, 320, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72574, 3851, 24, -250, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72617, 4128, 77, -471, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72661, 4229, 341, -435, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72705, 4084, 292, -547, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72748, 4137, 88, -553, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72792, 4132, 207, -431, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72836, 3886, 294, -829, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72879, 3869, 145, -677, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72923, 3976, 111, -939, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
72967, 3662, 268, -806, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73011, 3876, 205, -677, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73042, 3965, 131, -956, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73074, 3962, 9, -1174, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73106, 3963, -260, -1105, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73138, 4026, -434, -949, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73170, 4090, -372, -1156, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73201, 3931, -344, -1032, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73233, 3857, -423, -793, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73265, 3634, -193, -1076, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73297, 3295, 68, -1110, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73329, 3773, 157, -1385, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73361, 3601, 503, -1430, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73401, 3917, -81, -1617, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73441, 3564, 133, -1654, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73481, 4005, -53, -1978, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73522, 3687, -334, -2157, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73562, 3981, -621, -2124, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73602, 3761, -412, -2173, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73643, 3706, -886, -2303, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73683, 3687, -644, -2273, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73723, 3624, -840, -2450, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73764, 3915, -946, -1910, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73803, 3875, -116, -2223, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73843, 4127, -14, -2314, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73883, 3653, -426, -2276, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73922, 3267, -126, -2392, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
73962, 3218, -164, -2673, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
74002, 3003, -326, -2878, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
74041, 3327, -719, -2441, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
74081, 3600, 247, -2388, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
74121, 3669, -10, -2751, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
74161, 3321, -212, -2640, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
74197, 3136, -285, -2654, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
74233, 3053, -426, -2695, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
74270, 3020, -501, -2663, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
74306, 2968, -331, -2629, 99, accfbe91-0fa5-4673-bc29-3a3f222d6fea, , transisi, transisi_bersedekap_ke_ruku, , 
