158939, -76, 4174, 391, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159497, -3180, 896, 250, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159535, -3295, 51, -62, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159574, -3393, -724, 89, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159612, -3503, -663, 193, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159651, -3487, -1363, 608, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159689, -3589, -1472, 199, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159728, -3564, -1193, 799, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159767, -3621, -1114, 1054, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159805, -3698, -1102, 695, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159844, -3638, -1122, 728, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159882, -3541, -1339, 602, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159921, -3329, -1195, 253, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159960, -2797, -1129, 341, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
159998, -2524, -1447, 129, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160037, -2151, -713, 317, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160076, -2043, -420, 747, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160115, -1895, -28, 1179, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160154, -1480, 177, 1628, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160193, -633, 882, 2336, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160232, 620, 2057, 3245, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160271, 968, 4490, 2414, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160310, 2027, 2693, 3457, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160349, 3300, 4558, 3456, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160388, 3515, 3021, 3175, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160430, 3848, 3357, 2318, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160472, 4509, 3689, 2538, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160514, 4920, 2991, 2217, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160556, 4460, 2861, 2272, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160599, 4462, 2903, 1644, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160641, 3971, 4189, 400, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160683, 3634, 3334, 756, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160725, 3817, 2437, 825, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160767, 3641, 1796, 511, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160810, 3655, 1354, 549, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160846, 3496, 1755, 143, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160882, 3594, 1050, 202, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160918, 3545, 979, -153, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160954, 3467, 726, 76, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
160990, 3362, 919, -340, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161026, 3404, 362, -418, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161062, 3780, 671, -337, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161098, 3928, 401, -190, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161134, 3641, 331, -370, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161170, 4020, 949, -418, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161206, 3817, 613, -326, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161244, 3873, 975, -648, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161282, 4085, 535, -582, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161320, 3851, 1088, -810, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161358, 3646, 736, -1047, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161397, 4229, 946, -1088, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161435, 4275, 987, -1150, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161473, 4172, 1031, -1024, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161511, 4219, 972, -851, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161549, 4183, 804, -1197, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161588, 4124, 702, -1544, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161633, 4310, 799, -1622, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161678, 4396, 861, -1659, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
161723, 4090, 644, -1552, 72, b81a0776-c1f8-4809-a8e0-ad09af3b23e0, , transisi, transisi_bersedekap_ke_ruku, , 
