46370, 374, 4005, -1033, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47287, 5455, 4162, -1710, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47327, 4599, 2070, -1241, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47368, 4838, 1707, -549, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47408, 4231, 1378, -81, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47449, 4044, 922, 267, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47490, 3387, 2091, -348, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47530, 4056, 1701, -694, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47571, 4148, 1966, -862, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47611, 3838, 1867, -944, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47652, 3725, 2140, -912, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47693, 3426, 665, 286, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47728, 4910, -9287, 5418, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47764, 4226, -1580, -1057, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47800, 3108, 176, -1544, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47835, 3392, -2276, 333, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47871, 3070, -421, -487, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47907, 2686, 676, -1242, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47943, 3383, -844, -931, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
47978, 2958, 1734, -1274, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48014, 4013, -969, -1780, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48050, 3240, -956, -2250, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48086, 3977, 497, -2330, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48127, 5984, -3672, -324, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48169, 5148, -3322, -214, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48211, 4749, -2197, -1322, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48253, 3373, -2184, -767, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48295, 4975, -2337, -1693, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48336, 4652, -1838, -1821, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48378, 4218, -1193, -1533, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48420, 3768, -1278, -1415, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48462, 3618, -1313, -1424, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48504, 3854, -1365, -1524, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
48542, 3868, -1484, -1685, 49, e51ab3c6-7e5f-4562-958b-96f606cdb268, , transisi, transisi_bersedekap_ke_ruku, , 
