258070, -1165, 3509, -1846, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259136, 933, 1143, 113, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259174, 727, 2280, 743, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259211, 1868, 3921, 362, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259249, 5005, 4924, 503, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259287, 5076, 7374, 1201, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259324, 8627, 5392, 1954, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259362, 9615, 4383, 1696, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259400, 8149, 3163, 778, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259437, 3604, 8516, 14570, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259475, 3798, 1916, 499, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259513, 4058, 2932, -1431, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259551, 2719, -577, -1535, 76, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259593, 2468, -133, -799, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259635, 3318, 813, -1381, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259677, 3670, 589, -1217, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259719, 3816, 613, -545, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259761, 4502, -438, -109, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259803, 3996, -404, -394, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259845, 3795, -297, -696, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259887, 3569, -334, -791, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259929, 3666, -837, -1108, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
259971, 4146, -922, -1111, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260007, 4183, -297, -1110, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260044, 4227, -655, -1052, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260080, 3875, -775, -1180, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260117, 3869, -637, -1394, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260153, 4005, -1173, -1449, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260190, 3896, -929, -1873, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260226, 3809, -835, -1763, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260263, 3825, -830, -1800, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260299, 3950, -1107, -2019, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260336, 3763, -1277, -1980, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260373, 3642, -1092, -2018, 77, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260416, 3693, -1123, -2009, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260460, 3295, -804, -2034, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260503, 3767, -873, -2189, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260547, 3520, -1296, -2224, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260590, 3609, -1241, -2025, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260634, 3371, -1265, -1710, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260677, 3296, -1333, -1752, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260721, 3154, -1104, -1908, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260764, 3299, -1177, -2187, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260808, 3523, -1399, -2249, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260839, 3461, -1315, -2030, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260870, 3324, -1086, -2102, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260902, 2894, -1115, -1884, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260933, 3060, -1079, -2169, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260964, 3885, -1896, -2511, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
260996, 3697, -1354, -2588, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261027, 3519, -1245, -2190, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261058, 3328, -1212, -2212, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261090, 3042, -1138, -2281, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261121, 2524, -1549, -2098, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261153, 3322, -1853, -2207, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261192, 3408, -1523, -2400, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261232, 3055, -1379, -2277, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261272, 3183, -1237, -2316, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261312, 3174, -1467, -2276, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261352, 3148, -1384, -2000, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261392, 3354, -1476, -2180, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261432, 3176, -1713, -2320, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261472, 3206, -1577, -2373, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261512, 3153, -1413, -2193, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
261552, 3106, -1399, -2216, 80, e12a102c-44a8-42db-b6a3-ee4354b0e00d, , transisi, transisi_bersedekap_ke_ruku, , 
