262745, 309, 3880, -1348, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263850, 3941, 1793, -400, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263885, 4444, 2116, -212, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263920, 4318, 2208, -869, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263955, 4344, 1680, -795, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
263991, 4723, 1464, -800, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264026, 4251, -3644, 5462, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264061, 1760, -2450, 2472, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264097, 4283, 1319, -1362, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264141, 3540, -323, -743, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264185, 3960, -1135, -47, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264229, 3505, -517, -534, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264273, 3168, -223, -422, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264317, 2931, -378, -161, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264361, 2945, 288, -622, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264405, 2404, 613, -1108, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264449, 3125, 1196, -2558, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264493, 3952, 974, -367, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264537, 2970, -1941, -1424, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264572, 3738, -578, -2166, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264608, 3206, -739, -2308, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264644, 4787, -327, -2056, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264679, 5249, -1785, -1823, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264715, 5456, -746, -1780, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264751, 4783, -2307, -1664, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264787, 4317, -2088, -1383, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264822, 4634, -1452, -1285, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264858, 4562, -972, -1864, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264894, 4303, -630, -2291, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264930, 4092, -711, -1991, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
264965, 3975, -527, -2129, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
265001, 3783, -866, -1793, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
265036, 3586, -635, -1769, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
265072, 3443, -661, -1827, 75, 3b41d7cb-8df4-4869-a8ce-bfccb6f62f10, , transisi, transisi_bersedekap_ke_ruku, , 
