340030, -547, 3803, -986, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340833, -3873, 437, 989, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340876, -3478, -478, 873, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340920, -3017, -822, 95, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340953, -2535, -1481, -118, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
340986, -2138, -2260, -617, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341019, -2077, -2499, -553, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341053, -1913, -2775, -689, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341086, -1600, -2784, -1045, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341119, -1320, -2694, -1042, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341152, -1070, -2313, -1043, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341186, -751, -1821, -814, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341219, -303, -1225, -475, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341252, 446, -672, 36, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341286, 1032, -118, 635, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341327, 2401, 1322, 584, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341369, 3310, 3243, 2019, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341410, 4923, 5771, 2901, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341452, 6769, 3391, 1409, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341494, 11179, 2755, 1980, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341535, 15653, 5297, 1122, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341577, 8813, 4448, -1347, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341618, 2731, 1773, -1781, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341660, 3955, 3845, -2553, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341702, 3880, 1550, -1163, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341745, 2897, 2342, -693, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341789, 3025, 2611, 351, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341833, 2919, -402, 495, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341877, 3634, 1058, -392, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341921, 3469, 429, -1074, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
341964, 3853, -370, -1451, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342008, 4850, -1471, -1021, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342052, 3812, -1696, -377, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342096, 3291, -593, -641, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342140, 3126, -436, -765, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342179, 3808, 139, -605, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342218, 4029, 314, -1093, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342257, 3519, 40, -1401, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342296, 3996, -265, -1515, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342335, 3838, -607, -1562, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342374, 3635, -1048, -1217, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342413, 3817, -354, -1072, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342452, 4086, -825, -1951, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342491, 4818, -530, -2285, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342530, 4368, 1187, -2231, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342570, 5280, 396, -1657, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342603, 3859, 118, -2669, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342637, 3784, 997, -1781, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342671, 3504, 1805, -1816, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342705, 2965, 1263, -1712, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342739, 3133, 1424, -1673, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342772, 3262, 1096, -1958, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342806, 3803, 995, -2353, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342840, 3472, 531, -2564, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342874, 3712, 1309, -2324, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342908, 3355, 1848, -2396, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342945, 3422, 2181, -2052, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
342982, 3483, 1486, -2205, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
343019, 3118, 1262, -2152, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
343057, 3087, 1378, -2086, 82, fd31bdbe-6220-4799-b193-887b572b4763, , transisi, transisi_bersedekap_ke_ruku, , 
