123140, -157, 3857, -1784, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123694, -1779, 2497, 401, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123735, -2191, 525, 419, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123777, -2267, -571, 91, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123816, -2190, -1541, 891, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123856, -2476, -1973, 862, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123896, -1979, -2702, 548, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123936, -2044, -2655, 997, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
123976, -1828, -2565, 780, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124015, -1531, -2473, 700, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124055, -1187, -2061, 352, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124095, -936, -2020, -303, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124135, -689, -1765, -653, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124175, 157, -928, -990, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124211, 935, -654, -793, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124247, 2604, 602, -1060, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124283, 4349, 3358, -583, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124319, 6034, 4600, -497, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124355, 9791, 1138, 208, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124391, 14167, 7508, -117, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124427, 9897, 4085, 544, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124463, 9137, 7611, 2680, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124499, 2247, 3393, -1763, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124535, 3420, 1884, -1753, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124572, 3212, 147, -1437, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124611, 3001, 896, -1696, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124650, 2955, 114, -1549, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124689, 3069, -218, -1341, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124728, 3475, 192, -891, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124767, 3026, -129, -1200, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124806, 3391, 335, -828, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124845, 3482, -179, -348, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124884, 2748, -153, -979, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124923, 3852, -185, -1161, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124962, 4165, -195, -1810, 96, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
124998, 5251, -259, -1688, 97, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
125035, 4371, -75, -1985, 97, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
125072, 4325, -244, -2357, 97, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
125109, 4299, 135, -2094, 97, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
125146, 3910, 588, -2365, 97, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
125183, 3908, -44, -2577, 97, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
125220, 3834, 350, -2646, 97, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
125257, 4092, 537, -2422, 97, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
125294, 3517, -216, -2104, 97, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
125331, 3508, 384, -2258, 97, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
125368, 3318, -267, -1974, 97, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
125408, 3611, 51, -2233, 97, 09dcd2bc-6d5f-4d40-bc17-cc7ebfab0a75, , transisi, transisi_bersedekap_ke_ruku, , 
