326262, -721, 4002, -819, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326898, -3148, 1686, 280, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326940, -3501, 2497, 2416, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
326982, -2774, 1256, 1382, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327024, -2399, -62, 384, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327066, -1796, -1422, -118, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327108, -1402, -2114, -123, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327150, -1753, -2730, -1108, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327192, -1401, -2988, -603, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327235, -1234, -2625, -421, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327271, -1123, -2063, -322, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327307, -822, -1295, -159, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327343, -172, -637, -78, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327379, 775, 357, 415, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327415, 1850, 2286, 1320, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327451, 2719, 5459, 731, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327487, 3402, 3068, 698, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327523, 5988, 5572, 1419, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327559, 7857, 4115, -612, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327595, 9686, 3648, 1227, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327632, 8111, 2092, 1157, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327670, 5826, 1489, 1754, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327708, 4191, 1658, 96, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327746, 3998, 1544, -832, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327784, 3895, 1150, -1564, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327823, 3312, -230, -1153, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327861, 3240, 287, -671, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327899, 3444, -282, -784, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327937, 3762, 111, -1313, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
327975, 4032, -136, -1406, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328014, 3873, -657, -1417, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328054, 3938, -875, -1195, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328095, 3998, -949, -1497, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328135, 3848, -749, -1542, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328176, 3841, -748, -1761, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328216, 3786, -726, -1610, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328257, 3775, -476, -1957, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328297, 3617, -679, -2079, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328338, 3618, -553, -2056, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328378, 3639, -341, -2303, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328419, 3762, -1143, -2261, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328455, 3732, -964, -2147, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328491, 3765, -844, -1995, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328527, 3672, -881, -2049, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328564, 3728, -909, -1807, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328600, 3636, -657, -1977, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328636, 3600, -682, -2119, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328672, 3595, -753, -2037, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328709, 3469, -751, -2010, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328745, 3529, -736, -2108, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328781, 3479, -928, -2211, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328818, 3653, -649, -2370, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328859, 3543, -856, -2179, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328901, 3435, -771, -2141, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328942, 3411, -798, -2126, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
328984, 3322, -821, -2204, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
329026, 3378, -701, -2135, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
329067, 3413, -674, -2205, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
329109, 3427, -738, -2243, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
329150, 3350, -866, -2274, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
329192, 3289, -544, -2387, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
329234, 3300, -497, -2308, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
329272, 3274, -908, -2280, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
329311, 3488, -853, -2376, 80, f19bf81a-2e03-468d-931c-8b8b0e517bc0, , transisi, transisi_bersedekap_ke_ruku, , 
