144495, -1091, 3742, -1074, 107, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145263, -2982, 1080, 1962, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145300, -2511, 471, 1333, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145337, -1805, -1083, 382, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145374, -1644, -2122, -233, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145411, -1614, -3955, -1445, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145448, -1442, -3420, -1395, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145485, -1018, -3190, -895, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145522, -688, -2505, -670, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145559, -64, -1402, -227, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145596, 474, -602, 31, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145634, 1512, -976, -314, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145672, 4113, 3632, 329, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145711, 4106, 4936, 2301, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145749, 6128, 6696, 2617, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145788, 6435, 2923, -488, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145826, 10429, 695, -1748, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145864, 13850, 3572, -2564, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145903, 9174, 5342, -3321, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145941, 4037, 2867, -1681, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
145980, 4484, 1502, -737, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146018, 4651, 2499, -997, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146056, 4338, 2346, -625, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146094, 3185, 2315, -393, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146132, 2622, 1989, -730, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146170, 3008, 2087, -1258, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146208, 3876, 1566, -983, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146246, 4131, 1511, -1213, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146284, 3932, 1031, -1537, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146322, 5337, 753, -173, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146360, 2822, -8031, 259, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146398, 3364, -1519, -944, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146438, 2932, -586, -1913, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146478, 3089, -594, -1854, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146518, 2977, -1221, -1435, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146558, 2550, -258, -1708, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146598, 2342, -168, -1720, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146638, 2581, -191, -2090, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146678, 2913, -540, -1941, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146718, 3422, -858, -1406, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146758, 4282, -235, -1336, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146798, 3956, 3, -1858, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146834, 3628, 150, -2312, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146870, 3460, -509, -2497, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146906, 3725, 21, -2827, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146942, 4361, -1803, -3236, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
146978, 4384, -1884, -4207, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
147015, 3979, -1369, -2418, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
147051, 3628, -629, -2997, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
147087, 3705, -362, -3285, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
147123, 3342, -675, -3383, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
147159, 3075, -504, -3189, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
147196, 2790, -766, -2787, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
147234, 2822, -905, -2710, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
147273, 2652, -901, -2888, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
147312, 2460, -915, -2870, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
147351, 2551, -1057, -2950, 106, d7e2d271-ea3f-48fe-802b-70d2b5d4df17, , transisi, transisi_bersedekap_ke_ruku, , 
