67865, -692, 3494, -1673, 58, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69226, 1225, 2538, 616, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69262, 2747, 3708, 1147, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69298, 4468, 4792, 1924, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69334, 6457, 6049, 3295, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69370, 7943, 5635, 815, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69406, 9648, 3965, 116, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69442, 11226, 4391, -125, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69478, 8386, 5083, -1173, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69514, 4964, 4096, -1650, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69551, 4443, 3168, -1600, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69590, 4072, 2762, -1467, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69630, 3471, 2634, -957, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69670, 3006, 2214, -398, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69709, 2906, 2151, -536, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69749, 3473, 2231, -453, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69789, 3652, 1813, -373, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69828, 3789, 1200, -294, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69868, 4114, 314, -470, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69908, 3431, 807, 1538, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69948, 3699, -5793, 172, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
69986, 3225, 1166, -2098, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70024, 2093, -4062, -733, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70063, 3271, -882, -1236, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70101, 3475, -1131, -236, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70140, 4082, -272, -516, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70178, 3907, -1132, -241, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70217, 4435, -741, -527, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70255, 4275, -611, -910, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70294, 4529, -652, -1571, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70332, 4732, -594, -1749, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70371, 4223, -1260, -1488, 59, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70414, 5108, -1486, -1657, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70457, 4927, -1360, -859, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70501, 4514, -704, -800, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70544, 4144, -812, -1058, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70588, 4182, -870, -1559, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70631, 3905, -998, -1814, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70674, 3659, -907, -1758, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70718, 3989, -928, -1382, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70761, 3873, -745, -1438, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70805, 3743, -879, -1511, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70839, 3663, -842, -1793, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70874, 3637, -906, -1847, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70908, 3567, -876, -1788, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70943, 3635, -929, -1536, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
70977, 3577, -844, -1603, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71012, 3591, -747, -1916, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71046, 3525, -654, -1897, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71081, 3512, -558, -2013, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71115, 3432, -840, -2268, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71150, 3406, -570, -1929, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71188, 3609, -1108, -1901, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71226, 3720, -1306, -2049, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71264, 3505, -1189, -2203, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71303, 3532, -1096, -2216, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71341, 3461, -903, -2204, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71379, 3578, -1133, -2239, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71417, 3453, -1265, -2042, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71456, 3259, -1310, -1985, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
71494, 3282, -1293, -2065, 60, dd6c1ec4-9c33-49aa-8b32-36b1624b7f71, , transisi, transisi_bersedekap_ke_ruku, , 
