54202, -239, 3608, -1796, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55034, -2619, -264, 915, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55070, -2186, -1576, 751, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55106, -1270, -1366, 202, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55141, -970, -3041, 263, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55177, -1019, -3065, 54, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55213, -804, -3177, 214, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55249, -662, -2557, 82, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55288, -569, -1755, 141, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55327, -439, -803, 316, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55367, -175, -90, 133, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55406, 443, 1117, 385, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55445, 1022, 3300, -126, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55485, 1469, 3292, 119, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55524, 3912, 5227, 1500, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55563, 4478, 6266, 1771, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55603, 7333, 4204, 1138, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55642, 11641, 4216, 752, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55682, 8535, 4471, 4193, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55718, 2904, 2089, -1017, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55754, 2774, 1559, -1021, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55790, 2702, -877, -724, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55826, 3317, 25, -215, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55863, 3087, 304, 1, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55899, 4399, 275, 27, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55935, 4107, -4, -17, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
55971, 4254, -846, 236, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56007, 4051, -201, -279, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56044, 4061, -277, -753, 48, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56083, 3846, -468, -775, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56122, 4292, -278, -997, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56162, 4146, -235, -952, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56201, 3753, -694, -1016, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56240, 4150, -749, -1047, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56280, 3936, -822, -1171, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56319, 4021, -1017, -1213, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56358, 3778, -843, -1368, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56398, 3806, -1087, -1070, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56437, 3913, -810, -1447, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56477, 4116, -887, -1533, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56513, 3791, -1091, -1684, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56549, 3937, -549, -1624, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56585, 3710, -938, -1448, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56622, 4009, -864, -1605, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56658, 4040, -1024, -2031, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56694, 4373, -904, -1851, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56731, 3814, -835, -1865, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56767, 3899, -759, -1724, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56803, 3570, -858, -1788, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56840, 3567, -701, -1805, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56883, 3430, -650, -1757, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
56927, 3438, -889, -1766, 49, 752dd1c0-f9fe-4894-bd63-28204b2c691d, , transisi, transisi_bersedekap_ke_ruku, , 
