392802, -910, 3940, -655, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393487, -2882, 3678, 822, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393524, -3104, 3555, 869, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393561, -3200, 2464, 1288, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393598, -3443, 2499, 1663, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393635, -3310, 1417, 1477, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393676, -3209, 606, 560, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393717, -2984, -94, 652, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393758, -2799, -796, 434, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393800, -2740, -1494, -2, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393841, -2350, -1848, -310, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393882, -2141, -2062, -561, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393923, -1968, -2867, -901, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
393965, -1598, -2624, -939, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394006, -1397, -2533, -802, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394047, -1157, -1835, -721, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394089, -761, -1242, -413, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394123, -111, -657, -97, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394157, 579, 451, 621, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394191, 1584, 2209, 1469, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394225, 2730, 3859, 1851, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394260, 3700, 4275, 1954, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394294, 4631, 4003, 1419, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394328, 8420, 4317, 1321, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394362, 8957, 2826, 947, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394396, 11461, 1905, 469, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394431, 6668, 1806, -138, 76, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394467, 3743, 792, -18, 78, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394503, 3852, 1040, -709, 78, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394540, 3722, 929, -1126, 78, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394576, 3788, 384, -1158, 78, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394613, 3325, -62, -807, 78, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394649, 3512, 381, -1247, 78, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394686, 3465, -566, -754, 78, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394722, 3898, -1561, -297, 78, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394759, 3595, -1284, -687, 78, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394795, 3866, -1177, -869, 78, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394832, 3540, -1333, -1081, 78, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394874, 3887, -1414, -1872, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394916, 3888, -1657, -1651, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
394958, 4066, -1271, -1306, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395000, 3826, -1388, -1374, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395043, 3674, -1282, -1456, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395085, 3678, -1121, -1363, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395127, 3711, -837, -1670, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395169, 3496, -835, -2195, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395211, 3502, -1294, -2330, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395254, 3912, -1229, -2075, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395291, 3674, -1312, -2060, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395329, 3678, -1567, -2116, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395367, 3795, -1488, -2135, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395405, 3509, -1149, -2079, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395443, 3590, -1223, -2194, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395480, 3279, -1016, -2282, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395518, 3287, -908, -2274, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395556, 3287, -736, -2282, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395594, 3125, -1192, -2429, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395632, 3284, -1039, -2240, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395670, 3315, -1199, -2331, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395708, 3219, -1313, -2416, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395747, 3334, -903, -2309, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395785, 3354, -995, -2500, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395824, 3332, -888, -2469, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395862, 3255, -814, -2599, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395901, 3148, -704, -2500, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395939, 3074, -792, -2451, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
395978, 3188, -775, -2416, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396016, 3110, -1076, -2564, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396055, 3214, -913, -2458, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396091, 3182, -679, -2558, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396128, 3179, -721, -2541, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396165, 3121, -777, -2599, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396201, 3200, -972, -2674, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396238, 3110, -937, -2616, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396275, 3170, -906, -2629, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396311, 3081, -941, -2606, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396348, 3026, -982, -2542, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396385, 3003, -996, -2623, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396422, 3096, -924, -2588, 79, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396460, 3061, -1005, -2719, 81, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396499, 2974, -945, -2605, 81, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396538, 3013, -994, -2635, 81, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396577, 2972, -1153, -2605, 81, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396616, 3011, -748, -2694, 81, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396654, 2978, -978, -2753, 81, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396693, 2909, -1041, -2670, 81, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396732, 2889, -894, -2694, 81, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396771, 2894, -1119, -2711, 81, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396810, 2860, -1229, -2710, 81, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396849, 2837, -1093, -2718, 81, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396888, 2904, -1235, -2786, 82, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396927, 2865, -1397, -2762, 82, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
396966, 2841, -1094, -2684, 82, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
397005, 2909, -1324, -2680, 82, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
397044, 2848, -1151, -2689, 82, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
397083, 2874, -1041, -2791, 82, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
397122, 2880, -1184, -2678, 82, e8acbadd-232e-43e3-93b4-2106e1f5c17c, , transisi, transisi_bersedekap_ke_ruku, , 
