81683, -598, 3983, -1245, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82863, 2853, 3781, -1212, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82903, 2231, 3554, -2118, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82943, 2431, 1321, -575, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
82983, 2929, -3, -502, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83023, 3291, -266, 79, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83064, 3675, -153, 76, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83106, 3479, -24, -249, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83148, 3320, 529, -744, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83190, 4568, 531, -350, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83232, 4056, 436, -1038, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83275, 4280, 397, -631, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83317, 4163, -164, -1099, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83359, 4055, 619, -1438, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83401, 4245, 470, -1502, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83443, 4288, 638, -1225, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83486, 4668, -234, -1563, 67, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83520, 4461, 58, -1525, 68, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83554, 4503, 259, -1582, 68, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83588, 4143, 691, -1545, 68, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83623, 3942, 1220, -1737, 68, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
83657, 3589, 1237, -1612, 68, 0ac426e6-3232-4f67-9ee8-693573434b32, , transisi, transisi_bersedekap_ke_ruku, , 
