283544, -736, 3658, -1794, 84, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285621, 3893, -325, -2109, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285660, 3928, -131, -1966, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285699, 3710, -557, -2020, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285738, 3911, -344, -2129, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285778, 3879, -754, -1889, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285817, 3653, -601, -1934, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285856, 3689, -779, -1894, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285895, 3670, -657, -1980, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285935, 3556, -455, -2045, 85, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
285973, 3474, -949, -1956, 86, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
286011, 3685, -454, -1927, 86, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
286049, 3571, -691, -2068, 86, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
286087, 3716, -968, -1737, 86, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
286125, 3651, -965, -1741, 86, 154fe176-aa7d-4352-a19f-de68871d7d78, , transisi, transisi_bersedekap_ke_ruku, , 
