138253, 518, 4206, 330, 88, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139441, 2247, -949, 199, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139475, 4982, 1951, 721, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139508, 7505, 496, -708, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139542, 10072, 3612, -3263, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139576, 13149, 4376, -1016, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139610, 11990, 4594, 550, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139651, 7843, 2601, -669, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139692, 5099, 1948, -67, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139733, 4712, 913, 196, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139774, 4135, 1972, -165, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139815, 4231, 2574, -730, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139856, 3659, 1254, -1215, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139897, 3220, 1330, -2418, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139938, 3511, 690, -1341, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
139979, 2830, -1692, -1533, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140021, 2661, -863, -2426, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140059, 2986, -1194, -1233, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140097, 2948, -1208, -1059, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140135, 3332, -1310, -841, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140173, 3357, -2693, -1473, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140211, 3366, 446, -1882, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140249, 3574, -2027, -1862, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140287, 3765, -2013, -2406, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140325, 3891, -1260, -2389, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140363, 4060, -1357, -2613, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140401, 4290, -657, -2574, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140439, 3387, -708, -2380, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140478, 3656, -683, -2644, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140518, 3845, -462, -2331, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140557, 3539, -415, -2313, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140597, 3693, -786, -2653, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140637, 3425, -878, -2199, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140676, 3632, -399, -2371, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140716, 3627, -228, -2301, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140755, 3421, -79, -2238, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140795, 3435, -177, -2312, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140835, 3534, -72, -2568, 89, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140875, 3565, -305, -2255, 90, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
140915, 3691, -354, -2365, 90, 1234ac54-810d-40e0-811f-50af5fb64e69, , transisi, transisi_bersedekap_ke_ruku, , 
