94594, -612, 3852, -1559, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95825, 6565, 6625, 1182, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95861, 7669, 3728, 374, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95897, 13070, 3966, 1243, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95934, 12762, 3522, -3310, 99, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
95973, 6313, 4538, -845, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96012, 3501, 1369, -298, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96051, 4590, 608, 849, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96090, 4562, 3164, -94, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96129, 4155, 2527, 254, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96168, 3243, 1551, 70, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96208, 2585, 2500, -657, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96247, 3024, 1588, -603, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96286, 3238, 1496, -285, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96325, 4368, 1367, -131, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96364, 4082, -578, -426, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96403, 2588, 2835, -2502, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96443, 4940, -6842, 330, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96481, 2788, -1529, -1797, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96520, 3382, -3976, -603, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96558, 4399, -1390, -240, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96597, 4048, -1363, -386, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96635, 4006, 64, -1130, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96674, 3934, -1318, -421, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96712, 4223, -370, -882, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96751, 3914, -525, -512, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96789, 3957, -37, -1216, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96828, 4156, -1083, -1344, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96866, 3986, -1067, -944, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96905, 3977, -506, -1613, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96944, 3897, -1387, -1582, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
96981, 3922, -1423, -1974, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97018, 4082, -419, -1670, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97056, 3988, -510, -1920, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97093, 3520, -690, -2073, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97131, 3837, -763, -2080, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97168, 3727, -666, -2279, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97206, 3603, -399, -2291, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97243, 3403, -813, -1922, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97281, 3268, 408, -2520, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97318, 3418, -261, -2300, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97356, 3470, -139, -2321, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97393, 3674, -452, -2213, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97431, 3495, -247, -2330, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97470, 3789, -457, -2352, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
97510, 3667, -293, -2254, 100, 0bc0e0a4-5f3e-432d-8178-2cd89882a81c, , transisi, transisi_bersedekap_ke_ruku, , 
