38648, -781, 3593, -1119, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39658, 445, -626, -117, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39699, 1379, -36, 260, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39740, 2893, 2009, 1063, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39781, 3859, 2745, 1170, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39822, 7189, 5383, 2293, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39863, 9662, 4879, 2146, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39898, 13422, 4152, 2785, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39933, 11921, 4628, 4332, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
39968, 5448, 4736, -1643, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40003, 4096, 436, 56, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40038, 3324, 3970, -2329, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40073, 3717, 2908, -1009, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40108, 2738, 2217, -1359, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40143, 1422, 2549, -987, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40178, 2008, 1217, -488, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40213, 3224, -504, 148, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40249, 3870, -356, -429, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40294, 3376, -162, -628, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40339, 4031, -943, -427, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40384, 4280, -182, -1113, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40429, 4438, 206, -1477, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40474, 4715, -469, -1415, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40519, 3139, -38, -1972, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40564, 4231, 248, -1429, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40609, 4440, -828, -1891, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40654, 4217, -233, -1896, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40699, 4510, 357, -1561, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40734, 3982, 950, -1459, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40769, 3751, 1690, -1539, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40804, 3907, 1074, -2080, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40839, 3759, 845, -2179, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40874, 3600, 1572, -2511, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40909, 3404, 1388, -2340, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40944, 3003, 1439, -2107, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
40979, 3039, 1177, -2641, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
41014, 3619, 1736, -2581, 61, ed4ce3e7-8953-4a57-81be-b3fa9cef0565, , transisi, transisi_bersedekap_ke_ruku, , 
