100546, -1511, 3106, -2201, 106, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103276, 3643, -1733, -1339, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103315, 3832, -1699, -1375, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103355, 3676, -1203, -1523, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103395, 3830, -1021, -1590, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103435, 3664, -1038, -1959, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103475, 3527, -1466, -1804, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103516, 3121, -1002, -2102, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103556, 3223, -1303, -1729, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103596, 3448, -1469, -2117, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103637, 3409, -1829, -2086, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103677, 3679, -1706, -1666, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103717, 3556, -1442, -1852, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103758, 3557, -1350, -2133, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103794, 3278, -1561, -2304, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103831, 3314, -1863, -2161, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103868, 3093, -1315, -2004, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103905, 2849, -1592, -2173, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103942, 3106, -1490, -2352, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
103978, 2834, -1812, -2555, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
104015, 3025, -1366, -2574, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
104052, 3323, -1781, -2432, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
104089, 3142, -1748, -2316, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
104126, 3123, -1770, -2409, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
104163, 2895, -1743, -2364, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
104203, 2816, -1669, -2477, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
104243, 2734, -1803, -2455, 104, 73dcac8a-9f57-42af-bb0c-5da6fdeeaa58, , transisi, transisi_bersedekap_ke_ruku, , 
