52043, -398, 3658, -1482, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52932, -3506, 1903, 1333, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
52966, -3478, 1291, 713, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53000, -3157, 80, 938, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53035, -2704, -733, 395, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53069, -1713, -2096, 323, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53103, -1124, -2530, -323, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53137, -392, -3633, -804, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53171, -336, -3490, -688, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53206, -59, -3146, -750, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53243, 50, -2376, -425, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53280, 264, -1511, -138, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53317, 739, -637, -7, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53354, 1270, 331, 662, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53391, 1725, 1912, 791, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53428, 4021, 5550, 2800, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53465, 4575, 4370, 2715, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53502, 6802, 2661, 1305, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53539, 11652, 829, 1016, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53576, 19813, 5217, -1416, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53614, 11943, 5629, -3640, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53654, 2914, 3190, -1041, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53694, 4249, 1534, -253, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53734, 4755, 3012, -1198, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53774, 5302, 2908, -398, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53815, 2886, 2443, -164, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53855, 1853, 2157, -870, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53895, 2085, 2646, -1282, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53935, 2871, 2318, -1017, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
53975, 3109, 2159, -1365, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54016, 2826, 1676, -1547, 55, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54055, 4044, 2073, -1666, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54094, 6685, -4878, -1558, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54133, 6132, -651, -1050, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54172, 3783, 520, -1288, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54211, 3999, -549, -1960, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54250, 4028, -1698, -1096, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54289, 3667, -235, -1123, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54328, 4014, -127, -1038, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54367, 4331, -192, -1213, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54406, 4116, -164, -1299, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54443, 3922, -562, -1169, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54480, 4203, -332, -1768, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54517, 3536, -125, -1705, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54554, 3624, -1084, -2437, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54591, 3798, 302, -2379, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54628, 4207, -260, -1572, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54665, 4680, -1240, -1834, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54702, 4552, -513, -2112, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54739, 4495, -748, -2515, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54776, 4081, -382, -2755, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54813, 3881, 341, -1876, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54851, 3956, 850, -2192, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54890, 3917, 650, -2099, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54929, 3621, 192, -2234, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
54968, 3304, -41, -2393, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55007, 3171, -162, -2352, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55046, 2993, -349, -2491, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55085, 3025, -248, -2470, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55124, 3144, -486, -2526, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55163, 2987, -352, -2431, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55202, 3152, -411, -2477, 56, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55243, 3345, -360, -2568, 58, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55284, 3493, -311, -2439, 58, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55325, 3502, -223, -2415, 58, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55366, 3383, -254, -2497, 58, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55407, 3263, -375, -2569, 58, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55449, 3193, -476, -2654, 58, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
55490, 3140, -522, -2666, 58, 6e7fdcc4-1a38-44ad-b7d9-1b8248bac8d4, , transisi, transisi_bersedekap_ke_ruku, , 
