129584, -1932, 3268, -1799, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130596, -245, -3485, -575, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130633, -256, -3178, -341, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130670, -221, -2177, -116, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130707, -134, -1165, -28, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130744, -24, 112, 359, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130781, -60, 1766, 679, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130820, -178, 3517, 1064, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130859, 974, 4015, 1148, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130898, 1311, 5865, 1426, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130937, 2466, 5865, 1920, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
130976, 3684, 6576, 1792, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131015, 6118, 5328, 1210, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131054, 6466, 6801, 1583, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131093, 5653, 4944, 2844, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131132, 2428, 3952, 1414, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131171, 1373, 2957, -178, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131215, 2015, 604, -751, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131260, 1937, 1118, -909, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131305, 2494, 1133, -928, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131350, 2940, 1074, -109, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131395, 3659, 1982, 263, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131439, 4147, 980, -976, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131484, 4366, 913, -914, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131529, 4646, 650, -1072, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131574, 4390, 252, -1144, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131619, 4302, 137, -1350, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131651, 4050, 467, -1452, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131684, 4051, 380, -1733, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131717, 4068, 891, -1850, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131750, 3887, 310, -1928, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131783, 3635, 598, -1956, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131816, 3894, 821, -2105, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131849, 3768, 329, -2096, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131882, 3789, 832, -2507, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131915, 3629, 516, -2156, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131948, 4317, -751, -1510, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
131981, 3561, 800, -2234, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132021, 4524, 195, -2629, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132062, 4002, -130, -1917, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132103, 3364, 53, -1762, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132143, 3485, 143, -1696, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132184, 3286, -24, -2062, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132225, 3623, -188, -2234, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132265, 3409, -520, -1941, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132306, 3605, -436, -1597, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132347, 3654, -313, -2004, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132388, 3658, -249, -2071, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132426, 3714, -743, -1726, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132465, 3527, -162, -2219, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132503, 3698, -561, -2304, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132542, 3680, -567, -2207, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132581, 3578, -465, -2114, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132619, 3545, -614, -2214, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132658, 3546, -633, -2334, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132696, 3464, -651, -2076, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132735, 3086, -299, -1392, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132774, 3848, -1110, -1941, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132811, 3682, -1081, -2847, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132849, 3690, -1369, -2082, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132886, 3437, -797, -2002, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132924, 3419, -692, -2176, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132961, 3205, -571, -2175, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
132999, 3333, -683, -2026, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
133036, 3510, -541, -2331, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
133074, 3273, -436, -2348, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
133111, 3368, -568, -2385, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
133149, 3415, -446, -2404, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
133187, 3433, -532, -2432, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
133225, 3408, -609, -2300, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
133263, 3357, -737, -2215, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
133301, 3373, -569, -2182, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
133339, 3254, -627, -2057, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
133378, 3391, -886, -2111, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
133416, 3396, -1068, -2266, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
133454, 3430, -1028, -2268, 74, 7bbfd56a-df2a-44b4-a73a-ca2a7ceeab97, , transisi, transisi_bersedekap_ke_ruku, , 
